"Theta [deg]","dB(AxialRatioValue) [] - Freq='1.57666666666667GHz' Phi='90.0000000000002deg'"
-180,7.64218556770986
-178,7.98434834886501
-176,8.32677806737221
-174,8.67970249841644
-172,9.0586324513926
-170,9.48409771708928
-168,9.9799888788793
-166,10.5703575932184
-164,11.2751825460742
-162,12.1062294824126
-160,13.0641844360435
-158,14.1375290323176
-156,15.3026220122958
-154,16.5238689897726
-152,17.753066676522
-150,18.9279484612547
-148,19.9714683539955
-146,20.7950617209463
-144,21.3096700204939
-142,21.4451935832128
-140,21.1716043097276
-138,20.509441433039
-136,19.5227509465052
-134,18.3007818316073
-132,16.9420201942616
-130,15.550643180458
-128,14.2497674498672
-126,13.2150117217693
-124,12.7332747697335
-122,13.291270942555
-120,15.7851082484001
-118,23.1865903060333
-116,26.2235457743753
-114,15.1292309037529
-112,10.5184062806894
-110,7.73210957138126
-108,5.8393934809116
-106,4.47778356852579
-104,3.46645009487067
-102,2.70231319616189
-100,2.12139022683854
-98,1.68131631122841
-96,1.35226047372967
-94,1.11181517521428
-92,0.942505094582798
-90,0.831902856037244
-88,0.775240679171314
-86,0.778485547315155
-84,0.857291293981939
-82,1.03009535325178
-80,1.31338949385012
-78,1.72554142515738
-76,2.29451438946639
-74,3.06622290988149
-72,4.11708305345377
-70,5.58009522507187
-68,7.71022293242408
-66,11.0934174021962
-64,17.7352380046842
-62,31.2540005136605
-60,15.2205116446311
-58,11.1578534210629
-56,10.0493021022311
-54,10.4857661444932
-52,11.6639187167057
-50,13.1240557971684
-48,14.6273947298091
-46,16.0374826193677
-44,17.2579843518365
-42,18.2102163781757
-40,18.8321747625457
-38,19.0874983261394
-36,18.9743205593308
-34,18.5260315962577
-32,17.8022456012838
-30,16.8749679507874
-28,15.8165484610571
-26,14.6927456766334
-24,13.5604109312533
-22,12.4675406447982
-20,11.4535175226349
-18,10.5482520050732
-16,9.77010090164592
-14,9.12364438948839
-12,8.59914766631577
-10,8.17508423187722
-8,7.82341865313994
-6,7.51570232444901
-4,7.22781018801785
-2,6.94226839097596
0,6.6484156872872
2,6.34127157009401
4,6.01995812973844
6,5.68621379022624
8,5.34323264571317
10,4.9948669857183
12,4.6451377225732
14,4.29797026552431
16,3.95707818323036
18,3.62593270168193
20,3.30777229804814
22,3.00561949889567
24,2.72228091238024
26,2.46031246621738
28,2.22193659889993
30,2.00890455101069
32,1.82230883719894
34,1.66237208929618
36,1.52826725788019
38,1.41804703216495
40,1.32875229342929
42,1.25671447751835
44,1.19798595325568
46,1.1487789390715
48,1.10580346295687
50,1.0664529541299
52,1.02884716840473
54,0.991775643476226
56,0.954589197661725
58,0.917075595680944
60,0.879340977108598
62,0.841707165802076
64,0.804627832071067
66,0.768622797171115
68,0.734228272746072
70,0.701960492887146
72,0.672290369582745
74,0.645627124820663
76,0.622309161633171
78,0.602600685623209
80,0.58669278996738
82,0.574707896993138
84,0.56670661883127
86,0.562696242579468
88,0.562640132601574
90,0.56646735986012
92,0.574081840340486
94,0.585370254873064
96,0.600208105320605
98,0.618463486484054
100,0.639998521160306
102,0.664668873446207
104,0.692322250635204
106,0.722797248902699
108,0.755924224662333
110,0.791530032308435
112,0.829448428535734
114,0.869537683735583
116,0.911706442471596
118,0.955948105534316
120,1.00238291445609
122,1.05130544770303
124,1.10323336718158
126,1.15895109701981
128,1.21954005141334
130,1.28638581328656
132,1.36115340125449
134,1.4457255100222
136,1.54210560616252
138,1.6522965816725
140,1.77817314034256
142,1.92136863120475
144,2.08319290056051
146,2.26458842722457
148,2.46612152142061
150,2.68799771182632
152,2.93008756807985
154,3.19195066887075
156,3.47284945773328
158,3.77174949683745
160,4.08730695470881
162,4.41784764223696
164,4.76134472626673
166,5.11540493203348
168,5.47727627398507
170,5.8438947914052
172,6.21199384982822
174,6.57830715563954
176,6.93990432418447
178,7.29470189870626
180,7.64218556770986
