"Phi [deg]","dB(AxialRatioValue) [] - Freq='1.57666666666667GHz' Theta='90.0000000000002deg'"
-180,5.84314653585143
-178,6.1129996811838
-176,6.39134956143247
-174,6.69015165933348
-172,7.02489683140823
-170,7.41352540467277
-168,7.8742190091108
-166,8.42230201092463
-164,9.0669952225295
-162,9.80899821778961
-160,10.6395722508204
-158,11.5411170062783
-156,12.4886474339073
-154,13.4514149338175
-152,14.3941686544509
-150,15.2780086750146
-148,16.0612393203998
-146,16.7009383414755
-144,17.1559680409022
-142,17.3917190606775
-140,17.3860188473659
-138,17.1348101784567
-136,16.6562506568439
-134,15.9933890576021
-132,15.2182753797847
-130,14.4436177252802
-128,13.8520515591383
-126,13.7593786771134
-124,14.7517479526897
-122,18.1688012177369
-120,32.4526148828885
-118,19.5923048170745
-116,12.188337862326
-114,8.28138617764223
-112,5.75886149127991
-110,3.99416313446649
-108,2.70649709986972
-106,1.74519092652704
-104,1.02278421358066
-102,0.496378204358403
-100,0.241113393332402
-98,0.390064676004891
-96,0.585278598184145
-94,0.725262152858067
-92,0.805751676880774
-90,0.831902856037258
-88,0.812386014568671
-86,0.764023228764688
-84,0.725211400096543
-82,0.772405886820666
-80,0.991755049247021
-78,1.41754245438244
-76,2.05940559786634
-74,2.95150307911505
-72,4.1710566894224
-70,5.86275954800357
-68,8.30679357437143
-66,12.1429735824937
-64,19.5793140734744
-62,31.0182331314519
-60,17.5494494439598
-58,14.2966990211892
-56,13.5534719810872
-54,13.9833571871193
-52,14.9725251392931
-50,16.1863582163576
-48,17.4267144580418
-46,18.559074905231
-44,19.4798600655716
-42,20.1088302037095
-40,20.3951300763715
-38,20.3257787008618
-36,19.9268072498343
-34,19.2537847401414
-32,18.376470870888
-30,17.3649898037864
-28,16.2816474149907
-26,15.1781612837974
-24,14.0959806308947
-22,13.0674261909089
-20,12.1163082743228
-18,11.2576987052679
-16,10.497357899305
-14,9.83175387823746
-12,9.24944332428311
-10,8.73386202509263
-8,8.26677316652229
-6,7.83132137947577
-4,7.41397033867421
-2,7.00519848129087
0,6.59926655994567
2,6.19350216317453
4,5.78746191359052
6,5.38217974730548
8,4.97958165380656
10,4.58207036591194
12,4.19224961186144
14,3.81274966524981
16,3.44612007943404
18,3.09476325951012
20,2.76088991496612
22,2.44648314658135
24,2.15326203973845
26,1.88263886478812
28,1.63566720925005
30,1.41298239518935
32,1.21474087718123
34,1.04057188609966
36,0.889561230583601
38,0.76029108360689
40,0.650956183936015
42,0.559561450943684
44,0.484177637069699
46,0.423196617584896
48,0.375497990537629
50,0.340428665308756
52,0.317536107455802
54,0.306127867887506
56,0.304915306913546
58,0.3120119395346
60,0.325272275657307
62,0.342693901881034
64,0.36265797698126
66,0.383980358819954
68,0.405848086468762
70,0.427713791155874
72,0.449189385316615
74,0.469957469381588
76,0.489707312038633
78,0.5080966467586
80,0.524737213170691
82,0.539199702914227
84,0.551032441329251
86,0.559787824979451
88,0.565051116809216
90,0.566467359860122
92,0.563763546387983
94,0.556764488998664
96,0.545401921329466
98,0.529717146589897
100,0.509858051956337
102,0.486071539489845
104,0.45869242219533
106,0.428129641963591
108,0.394850371823325
110,0.359362371113101
112,0.322195360314542
114,0.283884396068103
116,0.24496547718973
118,0.206015166777598
120,0.167831513655825
122,0.132062944552613
124,0.103176715105625
126,0.0922115759648884
128,0.111153194939877
130,0.156574988548862
132,0.220624507768441
134,0.300537588679527
136,0.396411875182372
138,0.509232583113914
140,0.64006887775848
142,0.789744217551055
144,0.958695534759231
146,1.14692197588232
148,1.35398365664928
150,1.57903040702161
152,1.82084732049671
154,2.07790698354516
156,2.34842069033734
158,2.63038376579304
160,2.92161343451145
162,3.21978124847564
164,3.52244567294862
166,3.82709393069581
168,4.13120569786335
170,4.43235487942428
172,4.7283694562091
174,5.01757272309226
176,5.29913038461012
178,5.57352312282451
180,5.84314653585141
