"Theta [deg]","dB(GainLHCP) [] - Freq='1.57666666666667GHz' Phi='90.0000000000002deg'","dB(GainRHCP) [] - Freq='1.57666666666667GHz' Phi='90.0000000000002deg'"
-180,-4.39180159096738,-12.0606579138625
-178,-4.82865749472635,-12.1639109221682
-176,-5.26774771079401,-12.2867943271865
-174,-5.70312103347598,-12.4133463840945
-172,-6.12765303682891,-12.5241422220561
-170,-6.53327684470294,-12.5978065923
-168,-6.91144718832108,-12.6139211281235
-166,-7.25385683991185,-12.556975273344
-164,-7.5533528654943,-12.4201558334983
-162,-7.80490852960166,-12.2073476737689
-160,-8.0064354069323,-11.9323590920272
-158,-8.15921925293573,-11.6158022310836
-156,-8.26785520821017,-11.2811284486496
-154,-8.33970992734988,-10.9513029428167
-152,-8.38407567779346,-10.6468300353635
-150,-8.41124033293024,-10.3850724344651
-148,-8.43166614397395,-10.1804432965339
-146,-8.45538661631905,-10.0450349534184
-144,-8.49164449360357,-9.98937963209576
-142,-8.54873588749677,-10.0231712347497
-140,-8.63400178900815,-10.1558562400356
-138,-8.75390908051684,-10.3970115014716
-136,-8.91417599361505,-10.7563490483465
-134,-9.11991227676908,-11.2429606969143
-132,-9.37575727799024,-11.8628760378203
-130,-9.68600820040031,-12.6128173123333
-128,-10.0547361902656,-13.4657834979703
-126,-10.4858904974203,-14.3419677498925
-124,-10.9833915080027,-15.0673354755689
-122,-11.5512124954423,-15.3724798777773
-120,-12.1934475780225,-15.0408843586089
-118,-12.9143592544623,-14.1199815432745
-116,-13.7183920676601,-12.8691866415137
-114,-14.6101276565573,-11.5348335745435
-112,-15.5941377683761,-10.257172501004
-110,-16.674661307933,-9.09526880380921
-108,-17.8549836681468,-8.06666793821679
-106,-19.1363279838994,-7.17126452229048
-104,-20.5159893039541,-6.40257614348339
-102,-21.9844127242959,-5.75257230543579
-100,-23.521111774807,-5.2136102912138
-98,-25.0900969083603,-4.77913765325042
-96,-26.6370871545154,-4.44388908218641
-94,-28.0919733084492,-4.20389093773964
-92,-29.376136302759,-4.05640763190993
-90,-30.4019572306912,-3.99988731593356
-88,-31.0478502716498,-4.03393192540952
-86,-31.1369903764998,-4.1593037231578
-84,-30.5193413123318,-4.3779763599595
-82,-29.2427478862942,-4.69323846911343
-80,-27.555402648097,-5.10985963872484
-78,-25.7212094767286,-5.6343304236303
-76,-23.9085632026267,-6.27518646840829
-74,-22.1977754044133,-7.04341273774774
-72,-20.6184901953691,-7.95287129629673
-70,-19.1763289879799,-9.02052896568105
-68,-17.8667993293329,-10.2657522636097
-66,-16.6817786690079,-11.7064007895499
-64,-15.6123641483657,-13.3449075561655
