"Phi [deg]","dB(GainLHCP) [] - Freq='1.57666666666667GHz' Theta='90.0000000000002deg'","dB(GainRHCP) [] - Freq='1.57666666666667GHz' Theta='90.0000000000002deg'"
-180,-4.01892042858054,-13.8020548881998
-178,-4.44416092000351,-13.8644680136981
-176,-4.8726021862791,-13.9376237531878
-174,-5.29865144219781,-14.0019645891104
-172,-5.71561093796049,-14.0358845607145
-170,-6.11590661831425,-14.018271911304
-168,-6.49153797243288,-13.9321723956269
-166,-6.83476427189267,-13.7685686410364
-164,-7.13897589052799,-13.5287387562073
-162,-7.39961578846188,-13.2240554029532
-160,-7.61495199167214,-12.873349615728
-158,-7.78650144773589,-12.4991267114315
-156,-7.91898905627767,-12.1241299943366
-154,-8.01986376960301,-11.7691134989779
-152,-8.09852022152014,-11.4519084884227
-150,-8.16543141952586,-11.1874288329698
-148,-8.23137357196854,-10.9881834984029
-146,-8.30685001693905,-10.8649692134741
-144,-8.40174209732373,-10.8275475493382
-142,-8.52515999380477,-10.8851966684305
-140,-8.68544274955402,-11.0470478860722
-138,-8.89025635191895,-11.3220554954294
-136,-9.14675045701093,-11.7182578265474
-134,-9.46174943926954,-12.240547852257
-132,-9.8419673582388,-12.8852466024056
-130,-10.2942478820516,-13.6281271548178
-128,-10.8258398744568,-14.4011509185917
-126,-11.4447289932557,-15.0595009808562
-124,-12.1600578528717,-15.3750201393998
-122,-12.9826859736012,-15.1385723086762
-120,-13.9259725411229,-14.3402543645544
-118,-15.0069227296696,-13.1795513795503
-116,-16.2479488271579,-11.888700004213
-114,-17.6797212670947,-10.6197250577002
-112,-19.3460699272623,-9.44564813886795
-110,-21.3130368483284,-8.39346912744063
-108,-23.6871366610356,-7.46851923964522
-106,-26.6564167761374,-6.66723758684119
-104,-30.5943178820599,-5.98308398948133
-102,-36.2921017280685,-5.40910629482215
-100,-42.0920057181428,-4.93898863447087
-98,-37.5430472582955,-4.5674340836066
-96,-33.7431861229667,-4.29026734225219
-94,-31.69646026098,-4.10443000691945
-92,-30.6870328168504,-4.00794541360862
-90,-30.401957230691,-3.99988731593356
-88,-30.6883335678254,-4.08036767933069
-86,-31.3909031094938,-4.25055045674868
-84,-32.1053315091987,-4.51269411399547
-82,-31.9159181775654,-4.87022231815995
-80,-30.2060432987825,-5.32781627003367
-78,-27.6769215499768,-5.89150823659277
-76,-25.1313277288639,-6.56872231131196
-74,-22.8471688803816,-7.36812825711373
-72,-20.8556531593656,-8.29898301902358
-70,-19.1252993681317,-9.36917966217647
-68,-17.6172069273788,-10.580167114158
-66,-16.297723139746,-11.9146690223154
-64,-15.1399649247368,-13.3098382194966
-62,-14.1228225029684,-14.6115279665709
-60,-13.2296495877291,-15.5467060162385
-58,-12.4471415513377,-15.8393358490043
-56,-11.7644629642766,-15.4685698706354
-54,-11.172584532732,-14.6927613288106
-52,-10.6637772246312,-13.7962677226955
-50,-10.2312197648555,-12.9479521144157
-48,-9.86868629213723,-12.2191170457828
-46,-9.57028951476991,-11.6305402308858
-44,-9.33026080768233,-11.1816220339565
-42,-9.14275302167635,-10.8639105355468
-40,-9.00165529209036,-10.6666574855378
-38,-8.90041301223589,-10.5788453025839
-36,-8.8318518028037,-10.5897054794805
-34,-8.78801337940509,-10.6885796196628
-32,-8.76002508524291,-10.8644720404454
-30,-8.73804358142684,-11.1054442805723
-28,-8.71133353576827,-11.3979470694102
-26,-8.66855514029201,-11.7262137500903
-24,-8.59832432164346,-12.0719254715374
-22,-8.4900591120112,-12.4144674709417
-20,-8.33502931862193,-12.7321419783797
-18,-8.12740943476417,-13.004541567959
-16,-7.865057207802,-13.2158046898095
-14,-7.5497683900889,-13.3578058520107
-12,-7.18690711085675,-13.4319662887782
-10,-6.7845150347382,-13.4488001069851
-8,-6.35215372554024,-13.4253943365663
-6,-5.89976511770019,-13.3819519364534
-4,-5.43675753473466,-13.3386598460697
-2,-4.97140475994243,-13.3136057462089
0,-4.51054498585329,-13.3218212639413
2,-4.05951169492563,-13.3751567715157
4,-3.62221518693052,-13.4826189625724
6,-3.20130443384999,-13.650885603654
8,-2.798358514461,-13.8848268026513
10,-2.41407579153139,-14.1879512134929
12,-2.04844366739519,-14.5627485951962
14,-1.70088189365134,-15.0109254733076
16,-1.37035900475695,-15.5335392965318
18,-1.05548562855055,-16.1310366967044
20,-0.754591015830462,-16.8031984752085
22,-0.465790530426322,-17.5489911467687
24,-0.187052121778183,-18.3663251301607
26,0.0837311483218877,-19.2517262881342
28,0.348657750679638,-20.1999445266734
30,0.609722311717997,-21.2035540236624
32,0.868711485912987,-22.2526425302377
34,1.1270989010155,-23.3347251008559
36,1.38595053619571,-24.4350059345536
38,1.64585329159118,-25.5369781385128
40,1.90687803720434,-26.6230369866025
42,2.16858412549074,-27.6743494480944
44,2.43006613930027,-28.6689740999901
46,2.6900370871303,-29.5777232288003
48,2.94693700653827,-30.3591493104971
50,3.19905315937345,-30.9584222284773
52,3.44463803009591,-31.3173529798991
54,3.68201369358355,-31.3977140635955
56,3.9096548358507,-31.2045386139726
58,4.12624674688896,-30.7881489720099
60,4.33071815206856,-30.2222419316481
62,4.52225136696532,-29.5776337788266
64,4.70027384821136,-28.907929208603
66,4.86443589332854,-28.2476843593338
68,5.01457924001398,-27.6166168288037
70,5.15070086389042,-27.0248750006814
72,5.27291556817603,-26.4773162954134
