"Freq [GHz]","dB(S(1,1)) []"
1.45,-0.249192703433759
1.452,-0.257484375699598
1.454,-0.266190688392877
1.456,-0.275339194054064
1.458,-0.284959738410093
1.46,-0.295084690648906
1.462,-0.305749200839888
1.464,-0.316991488181545
1.466,-0.328853164323279
1.468,-0.341379596670327
1.47,-0.354620317358949
1.472,-0.368629484504619
1.474,-0.38346640340629
1.476,-0.399196116667973
1.478,-0.415890073714058
1.48,-0.433626891976582
1.482,-0.452493224180147
1.484,-0.472584748716948
1.486,-0.494007303180773
1.488,-0.516878184826532
1.49,-0.541327646179056
1.492,-0.567500619403857
1.494,-0.59555870958752
1.496,-0.625682505025009
1.498,-0.658074262312368
1.5,-0.692961035919954
1.502,-0.73059833651034
1.504,-0.771274420245155
1.506,-0.815315333561831
1.508,-0.863090865497771
1.51,-0.915021594009791
1.512,-0.971587255698036
1.514,-1.03333672224019
1.516,-1.10089993470758
1.518,-1.17500223271191
1.52,-1.25648162415833
1.522,-1.34630967998224
1.524,-1.4456169154564
1.526,-1.55572374711848
1.528,-1.6781784075107
1.53,-1.81480357925803
1.532,-1.96775400296261
1.534,-2.1395879568238
1.536,-2.33335634966683
1.538,-2.55271428109075
1.54,-2.80206139590889
1.542,-3.08671932367959
1.544,-3.41315712653561
1.546,-3.78927922696586
1.548,-4.22479508752084
1.55,-4.73169639656533
1.552,-5.32487613702453
1.554,-6.02293484638457
1.556,-6.84923133374308
1.558,-7.83324149990617
1.56,-9.01226501958804
1.562,-10.4333797662218
1.564,-12.1549914053313
1.566,-14.2453130421809
1.568,-16.7679263836257
1.57,-19.7206842851483
1.572,-22.8434363831172
1.574,-25.3368379899977
1.576,-26.3102338792594
1.578,-25.5448742617036
1.58,-23.1495961925858
1.582,-19.9866594592121
1.584,-16.9522046725504
1.586,-14.3610160504616
1.588,-12.2260628839598
1.59,-10.4808018235648
1.592,-9.05142555556747
1.594,-7.87435411909791
1.596,-6.89845562134039
1.598,-6.08350731132634
1.6,-5.39805095684786
1.602,-4.81746016001154
1.604,-4.32237892674871
1.606,-3.89750932107944
1.608,-3.5306847358213
1.61,-3.21216514459209
1.612,-2.93410116419737
1.614,-2.69012535269842
1.616,-2.47503917109906
1.618,-2.28457194931383
1.62,-2.11519422034629
1.622,-1.96397228754349
1.624,-1.82845422446117
1.626,-1.70657996996263
1.628,-1.59661000092969
1.63,-1.49706841249993
1.632,-1.40669723718376
1.634,-1.32441958172777
1.636,-1.24930972131476
1.638,-1.1805687134976
1.64,-1.11750441479259
1.642,-1.05951502717244
1.644,-1.00607548893431
1.646,-0.956726168680667
1.648,-0.911063432891634
1.65,-0.868731744566889
1.652,-0.829417018493449
1.654,-0.792841012230743
1.656,-0.758756574204557
1.658,-0.726943603879587
1.66,-0.697205605755387
1.662,-0.669366740374613
1.664,-0.64326929277856
1.666,-0.618771492773591
1.668,-0.595745632664617
1.67,-0.574076437303204
1.672,-0.553659648807167
1.674,-0.534400794465102
1.676,-0.516214111405149
1.678,-0.499021605789747
1.68,-0.482752227761925
1.682,-0.467341146247815
1.684,-0.45272911011905
1.686,-0.438861884225077
1.688,-0.425689750487057
1.69,-0.413167065659807
1.692,-0.401251868560258
1.694,-0.389905530569513
1.696,-0.379092444069732
1.698,-0.368779744203611
1.7,-0.358937059962398
1.702,-0.349536291136947
1.704,-0.340551408117894
1.706,-0.331958271919222
1.708,-0.323734472132465
1.71,-0.315859180806189
1.712,-0.3083130204931
1.714,-0.301077944921701
1.716,-0.294137130935292
1.718,-0.287474880502423
1.72,-0.281076531743406
1.722,-0.274928378039901
1.724,-0.269017594401534
1.726,-0.263332170356805
1.728,-0.25786084871776
1.73,-0.252593069639496
1.732,-0.247518919459038
1.734,-0.242629083853585
1.736,-0.237914804907244
1.738,-0.233367841718847
1.74,-0.228980434221529
1.742,-0.224745269918913
1.744,-0.220655453272781
1.746,-0.216704477503768
1.748,-0.212886198590673
1.75,-0.209194811274789
