"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
1.45,0.794142111613557,15.8773898703162
1.452,0.822126056599699,16.0534032454488
1.454,0.851610313054353,16.2347951103482
1.456,0.882703014242852,16.4218414034935
1.458,0.91552216882727,16.6148371470702
1.46,0.950196761285064,16.8140981112982
1.462,0.986867997891205,17.0199626538943
1.464,1.02569072066023,17.2327937561911
1.466,1.06683501558985,17.4529812804417
1.468,1.1104880462778,17.6809444763063
1.47,1.15685614967423,17.9171347685306
1.472,1.20616723760112,18.1620388624668
1.474,1.25867355598978,18.4161822094685
1.476,1.31465486390252,18.6801328804244
1.478,1.3744221067454,18.9545059029339
1.48,1.43832167319639,19.2399681260224
1.482,1.50674034396469,19.5372436860394
1.484,1.58011106345494,19.8471201586778
1.486,1.65891969388334,20.1704554951361
1.488,1.74371294686195,20.5081858555554
1.49,1.83510773185424,20.8613344702575
1.492,1.93380221671692,21.231021679221
1.494,2.04058896606403,21.6184763228446
1.496,2.15637061275,22.0250486824327
1.498,2.28217863210519,22.4522251968395
1.5,2.41919593531258,22.9016452117972
1.502,2.56878418772871,23.3751200494034
1.504,2.73251700381866,23.8746547147448
1.506,2.9122204913827,24.4024725804942
1.508,3.11002303935182,24.9610434013452
1.51,3.32841680046558,25.553114996212
1.512,3.57033406054744,26.1817488770385
1.514,3.83924267606196,26.8503599655642
1.516,4.13926609289937,27.5627602687311
1.518,4.47533525918964,28.3232058895807
1.52,4.85338218996867,29.1364458851626
1.522,5.28058827559357,30.0077700008722
1.524,5.76570498249062,30.9430498040288
1.526,6.31947082144498,31.9487635267562
1.528,6.95515693290198,33.0319878625913
1.53,7.68928505198729,34.200328101771
1.532,8.54257665764201,35.4617380346926
1.534,9.54121109575356,36.8241473661302
1.536,10.7184923365057,38.2947573546324
1.538,12.1170438651264,39.8787687645239
1.54,13.7916543398286,41.5771430643901
1.542,15.8128450802317,43.3827256093658
1.544,18.2710326873766,45.2736182279118
1.546,21.2806076084278,47.2020171293649
1.548,24.9818958621334,49.0758546966358
1.55,29.5359556469373,50.729912318685
1.552,35.1011727309192,51.8842632888207
1.554,41.7710034069968,52.0957562151146
1.556,49.4443554159427,50.7328126856118
1.558,57.6197199666132,47.0541788336956
1.56,65.2073914759736,40.5156678308402
1.562,70.6459158407043,31.3156330778308
1.564,72.5987677647863,20.7789453551071
1.566,70.8731229165482,10.9359958305583
1.568,66.6024076746123,3.42114607944773
1.57,61.4745727417032,-1.25441909320483
1.572,56.8799517419633,-3.5445608910082
1.574,53.6016466841342,-4.33604382881099
1.576,51.8987011966352,-4.57696844736623
1.578,51.6433914205202,-5.13949719467303
1.58,52.3647372097418,-6.75861037070134
1.582,53.2484071537687,-9.89040771197159
1.584,53.2719154181168,-14.4670977764248
1.586,51.6074880428096,-19.7665264066022
1.588,48.0800380008902,-24.6948636343115
1.59,43.2204325311356,-28.3693790927723
1.592,37.8534719040967,-30.4795735155668
1.594,32.6594930539582,-31.1999274895193
1.596,28.0132490882933,-30.9079839848605
1.598,24.0376560855928,-29.9749566557463
1.6,20.7125701830328,-28.6840031080659
1.602,17.957847049074,-27.2249308098348
1.604,15.6792712862703,-25.715302211171
1.606,13.7889546912347,-24.2236684402131
1.608,12.2121738684589,-22.7875217119471
1.61,10.8880945297983,-21.4254535065775
1.612,9.76818856617907,-20.1448884159927
1.614,8.81406349766753,-18.9468445299824
1.616,7.99539115495323,-17.8288083155971
1.618,7.2881565263844,-16.7864475044206
1.62,6.6732554576629,-15.8146180002512
1.622,6.1354008630958,-14.9079450172895
1.624,5.66228000236805,-14.0611486673746
1.626,5.24390814270448,-13.2692169479001
1.628,4.87213285365146,-12.5274883370463
1.63,4.54025280160477,-11.831681587821
1.632,4.24272331938915,-11.1778954270698
1.634,3.97492778250967,-10.5625918404835
1.636,3.73299903527364,-9.9825711365245
1.638,3.51367904629335,-9.43494363733547
1.64,3.31420791490639,-8.9171008045997
1.642,3.13223553929195,-8.42668736619118
1.644,2.9657508850584,-7.96157525723948
1.646,2.81302500577553,-7.51983973861242
1.648,2.67256487318406,-7.09973779102248
1.65,2.54307575492292,-6.69968873246352
1.652,2.42343039047558,-6.31825692613839
1.654,2.3126436047998,-5.95413640786897
1.656,2.2098512954021,-5.60613724903848
1.658,2.11429295569164,-5.27317347274814
1.66,2.02529707244084,-4.95425235049943
1.662,1.94226887078044,-4.64846492030752
1.664,1.864679985804,-4.35497758228847
1.666,1.79205972260897,-4.07302464301952
1.668,1.72398763175611,-3.80190169455215
1.67,1.66008717868988,-3.5409597274519
1.672,1.60002032666741,-3.28959988947219
1.674,1.54348288550943,-3.04726881240684
1.676,1.49020050478947,-2.81345443935186
1.678,1.43992521129,-2.58768229312675
1.68,1.39243240773081,-2.36951213406684
1.682,1.34751826374819,-2.15853496191261
1.684,1.30499744151048,-1.95437032219389
1.686,1.26470110771001,-1.75666388244585
1.688,1.22647519136716,-1.56508524788546
1.69,1.19017885324022,-1.37932598991038
1.692,1.15568313790305,-1.19909786402782
1.694,1.12286978393577,-1.02413119664537
1.696,1.09163017132963,-0.854173422614121
1.698,1.06186438826983,-0.688987757558624
1.7,1.03348040202972,-0.528351990896241
1.702,1.00639332087607,-0.372057387082172
1.704,0.980524735713206,-0.219907684043714
1.706,0.955802131744063,-0.0717181790173738
1.708,0.932158361741714,0.0726851069016223
1.71,0.909531173646012,0.213466193226015
1.712,0.887862786156738,0.350779840441882
1.714,0.867099506814003,0.484772192411219
1.716,0.847191387759622,0.615581366293378
1.718,0.828091914977205,0.743337994888068
1.72,0.809757727330162,0.868165725790261
1.722,0.792148362166719,0.990181681293951
1.724,0.775226024651014,1.10949688257989
1.726,0.758955378316834,1.2262166413656
1.728,0.743303354635227,1.34044092187881
1.73,0.728238979642352,1.45226467573351
1.732,0.71373321589815,1.56177815203567
1.734,0.699758818241034,1.66906718482202
1.736,0.686290201975076,1.77421345973397
1.738,0.67330332227666,1.87729476164971
1.74,0.660775563738815,1.97838520483687
1.742,0.648685639088041,2.07755544704361
1.744,0.637013496210915,2.17487288881671
1.746,0.625740232717706,2.27040185921946
1.748,0.614848017351158,2.36420378901617
1.75,0.604320017618452,2.45633737229687
