"Phi [deg]","dB(GainLHCP) [] - F='1.575GHz' Theta='90.0000000000002deg'","dB(GainRHCP) [] - F='1.575GHz' Theta='90.0000000000002deg'"
-180,-12.5265794489465,-4.09875018109221
-178,-12.5844129726127,-4.52985331785284
-176,-12.6684360885017,-4.96399470938523
-174,-12.7650324502383,-5.39506796561662
-172,-12.857310013069,-5.81579546068437
-170,-12.9258806727891,-6.2180125956019
-168,-12.9507668097573,-6.59318991962881
-166,-12.914475089661,-6.93319654033029
-164,-12.8056317156989,-7.23123265370942
-162,-12.6219198447397,-7.48277153987568
-160,-12.3710151869028,-7.68629482304246
-158,-12.069072784638,-7.84362417688238
-156,-11.7375232163113,-7.95975884570065
-154,-11.3995639555417,-8.04227816637505
-152,-11.0774621328824,-8.10048816498622
-150,-10.7910771825495,-8.14452890809514
-148,-10.5574419883147,-8.18461535068175
-146,-10.391017510611,-8.23050011940887
-144,-10.3042598383906,-8.29116752380149
-142,-10.3082461571141,-8.37471884019331
-140,-10.413191532967,-8.48839138489788
-138,-10.62870301015,-8.63865776753896
-136,-10.9635246818537,-8.83136517428652
-134,-11.4242532122277,-9.07188938866829
-132,-12.0118868328196,-9.36529056766144
-130,-12.7138651074708,-9.71646653689774
-128,-13.4875817594499,-10.1303050076584
-126,-14.2323011335213,-10.6118396026063
-124,-14.7631628633552,-11.1664168736243
-122,-14.8478856673862,-11.799883425347
-120,-14.3603623143612,-12.5188045064549
-118,-13.4016949714927,-13.3307286259951
-116,-12.2005989695193,-14.2445175794369
-114,-10.950850607125,-15.2707686053029
-112,-9.76161742194483,-16.4223664589847
-110,-8.68036909788821,-17.7152197044061
-108,-7.72215546635245,-19.169259748629
-106,-6.88751757241706,-20.8098154350969
-104,-6.1713675673363,-22.6695206763722
-102,-5.56702117661083,-24.7909588568738
-100,-5.06792984464267,-27.2302592158417
-97.9999999999998,-4.66837415599678,-30.0617443373401
-96.0000000000002,-4.36370374837035,-33.3834091654755
-94,-4.15038985363722,-37.3231381338091
-91.9999999999998,-4.02601110606836,-42.0402178548496
-90.0000000000002,-3.98922759564416,-47.3475106191838
-88,-4.03976881853528,-48.1531243734564
-85.9999999999998,-4.17844850308143,-42.8331345792998
-84.0000000000002,-4.40721431908884,-37.8648795856746
-82,-4.72923895265368,-33.8005857229162
-79.9999999999998,-5.14905846880903,-30.4275866840658
-78.0000000000002,-5.67276174489019,-27.5811375555842
-76,-6.30822619533856,-25.1454447991434
-73.9999999999998,-7.06536817769202,-23.0375244083187
-72.0000000000002,-7.95630038954521,-21.1967715239995
-70,-8.99508000584534,-19.5781185135768
-67.9999999999998,-10.1961636214861,-18.1474484269819
-66.0000000000001,-11.5691512901145,-16.8784830214847
-64,-13.103458622505,-15.7506435830769
-61.9999999999998,-14.7284410916583,-14.7475571129881
-60.0000000000001,-16.2325279330945,-13.8559945053131
-57.9999999999999,-17.2054320499202,-13.0651013152326
-56,-17.2768707305097,-12.3658292476678
-54,-16.5617701437128,-11.7505069620739
-52,-15.5054745777018,-11.2125083429399
-50,-14.4411839106749,-10.7459889312992
-48,-13.5110142921185,-10.3456691906082
-46,-12.7541379515226,-10.0066482249517
-44,-12.1702693848187,-9.72423448779707
-42,-11.7469468871745,-9.49378167113487
-40,-11.4694036979147,-9.31051906695138
-38,-11.3236610478938,-9.16936712701746
-36,-11.2971212562439,-9.06473194934067
-34,-11.3782268165087,-8.99027873088597
-32,-11.5557228537311,-8.93869605855737
-30,-11.817682789893,-8.9014824117358
-28,-12.1503378477455,-8.8688139143655
-26,-12.5367678204991,-8.82958385147123
-24,-12.9556504881781,-8.77172616560969
-22,-13.3805446205795,-8.68292196301815
-20,-13.7805353651355,-8.55171076498263
-18,-14.1232093089013,-8.36887798654063
-16,-14.3802929609004,-8.12881195046085
-14,-14.5345796841314,-7.83042235848356
-12,-14.5849632619446,-7.47729038237417
-10,-14.5465992957131,-7.07697803751574
-7.99999999999998,-14.446055414106,-6.63972525308548
-6.00000000000001,-14.3142834032515,-6.17693543445791
-4,-14.1806741426632,-5.69982516148911
-2,-14.0697278422146,-5.21845606284464
0,-14.0000968037753,-4.74119262014855
2,-13.9850392165084,-4.27451499085566
4,-14.0334210816106,-3.82307407787864
6.00000000000001,-14.1507547636237,-3.38988347346317
7.99999999999998,-14.3400544865392,-2.97657073706789
10,-14.6024553177223,-2.58363967061846
12,-14.9376152044606,-2.2107176842427
14,-15.3439428817491,-1.85677671005639
16,-15.8186970948552,-1.5203240604436
18,-16.3579996338312,-1.19956341282358
20,-16.9568023124038,-0.892527668283641
22,-17.6088472645969,-0.597186107297874
24,-18.3066584979642,-0.311528797987659
26,-19.0415959330639,-0.0336318640652169
