"Theta [deg]","dB(AxialRatioValue) [] - Freq='1.575GHz' Phi='90.0000000000002deg'"
-180,6.39321949002927
-178,6.69575737387443
-176,7.00130077157252
-174,7.31907938745568
-172,7.66263746614043
-170,8.04950350174041
-168,8.49943066184738
-166,9.03104863736958
-164,9.65759644669221
-162,10.3831888837147
-160,11.2010503765478
-158,12.0941303063386
-156,13.0372533028382
-154,13.9994101745596
-152,14.9451792516703
-150,15.8351215506489
-148,16.6258063654321
-146,17.2706508810481
-144,17.7228620556451
-142,17.9412264219637
-140,17.8981697187255
-138,17.5879430140844
-136,17.0324191198821
-134,16.2840374698074
-132,15.4294447260092
-130,14.6017025843307
-128,14.0130444224611
-126,14.0262183825042
-124,15.3152256932425
-122,19.5386318506672
-120,55.6984269573924
-118,17.955265615728
-116,11.6094214173553
-114,8.07245558714772
-112,5.74928616674897
-110,4.11131374114791
-108,2.91126982834039
-106,2.01304356950946
-104,1.33445929558885
-102,0.823219843173578
-100,0.445995276166538
-98,0.188387373073388
-96,0.104460856606711
-94,0.164698901864553
-92,0.189523878317865
-90,0.157097204859013
-88,0.107170383860313
-86,0.2187012054273
-84,0.47934337445649
-82,0.849247586353049
-80,1.34089588795878
-78,1.98271841967885
-76,2.8197812843565
-74,3.92337375945081
-72,5.4122263972129
-70,7.50289967204011
-68,10.6568436102436
-66,16.2167142038714
-64,37.1439563250287
-62,18.8951459087868
-60,13.6808147976277
-58,11.9672301762195
-56,11.8827638378335
-54,12.6496515132065
-52,13.823128802237
-50,15.1491266457597
-48,16.4740133219469
-46,17.6891679580251
-44,18.7053111987205
-42,19.4469507626363
-40,19.859145292585
-38,19.9182839031294
-36,19.6377856731298
-34,19.0634099587748
-32,18.2603953760138
-30,17.2993815639172
-28,16.2466373597998
-26,15.1597734620781
-24,14.0870759097326
-22,13.0679203772507
-20,12.1324982879467
-18,11.3004044305482
-16,10.5789686388551
-14,9.962953064806
-12,9.43677969293861
-10,8.97897366196358
-8,8.56718659039506
-6,8.18205908747807
-4,7.80912631285759
-2,7.43900348721605
0,7.06656966511405
2,6.68982289070226
4,6.30881786929755
6,5.9248519299805
8,5.53991514644539
10,5.15635514928305
12,4.77669204083768
14,4.40352601392144
16,4.03949392044612
18,3.68724415090195
20,3.34940956585375
22,3.02856567747909
24,2.72716625457827
26,2.44745165757871
28,2.19132748614001
30,1.96021428952928
32,1.75487585739913
34,1.57524669342096
36,1.42029821319385
38,1.28799961457002
40,1.17542620977717
42,1.07903111432495
44,0.99503442767198
46,0.919833538859313
48,0.850333696750169
50,0.784139420507898
52,0.719602893933678
54,0.655764000891758
56,0.592228724089124
58,0.529026211875307
60,0.466471602270013
62,0.405049282314288
64,0.345322512803239
66,0.287870502732775
68,0.233252798782007
70,0.182004508887727
72,0.134682531675481
74,0.092055935523765
76,0.0559427854008625
78,0.033593285494345
80,0.0394694292251254
82,0.059970301153642
84,0.0808340754141335
86,0.0989091411622574
88,0.113501732812507
90,0.124502851986419
92,0.132028253899044
94,0.136335679340923
96,0.137817021412181
98,0.137022929912504
100,0.134708347084413
102,0.131887693534502
104,0.129868061460511
106,0.13019049081686
108,0.134395887084144
110,0.143641830263279
112,0.158406372447466
114,0.178516979359029
116,0.203442224947525
118,0.232604813537355
120,0.265587382592919
122,0.302245466720478
124,0.342777264539958
126,0.387777546363918
128,0.438276016471174
130,0.495743614563219
132,0.562045607110698
134,0.63932895298018
136,0.7298512247133
138,0.835780197879292
140,0.959004326532315
142,1.10098817139903
144,1.26268872429027
146,1.44453000467456
148,1.64642228385976
150,1.86780958875039
152,2.10773139860171
154,2.3648882879588
156,2.63770488467732
158,2.92438637710624
160,3.22296696638296
162,3.53135034955589
164,3.8473438592347
166,4.16868969916945
168,4.49309932389095
170,4.81830098576904
172,5.14211632947895
174,5.46258988046448
176,5.77820477906686
178,6.08822671453412
180,6.39321949002927
