"Phi [deg]","dB(AxialRatioValue) [] - Freq='1.575GHz' Theta='90.0000000000002deg'"
-180,6.94212865080903
-178,7.28237660793712
-176,7.62010514519502
-174,7.9609815556814
-172,8.31457339594697
-170,8.69466954581002
-168,9.11870028465322
-166,9.60590741963648
-164,10.1743190533638
-162,10.8371785250032
-160,11.5998686808823
-158,12.4581669300494
-156,13.3979209486563
-154,14.395489376938
-152,15.4180671154232
-150,16.4234152087811
-148,17.3593375754043
-146,18.1642340612954
-144,18.7708322052259
-142,19.1149495723403
-140,19.148864811142
-138,18.8550007251917
-136,18.2535118487859
-134,17.4006981988116
-132,16.382360704063
-130,15.3113636788208
-128,14.3393378609499
-126,13.6916009700243
-124,13.7353461917478
-122,15.1192282907294
-120,19.3812232565422
-118,44.6164338630437
-116,18.7687159942054
-114,12.3384544544056
-112,8.79411400750633
-110,6.46414462442124
-108,4.81131188974176
-106,3.58852665447742
-104,2.66110963867451
-102,1.94803831110186
-100,1.39734399069569
-98,0.974130589761981
-96,0.654007108541616
-94,0.419037638100291
-92,0.255418944913093
-90,0.157097204859015
-88,0.14575241104742
-86,0.234784316145095
-84,0.400762321999313
-82,0.644737469280161
-80,0.981621136297322
-78,1.43346886330418
-76,2.031907072831
-74,2.82420833963364
-72,3.88464869363091
-70,5.33792636297551
-68,7.41522143633195
-66,10.6227095238285
-64,16.5185198563519
-62,62.1469748877124
-60,17.2017843112942
-58,12.5346489112786
-56,11.1309076997938
-54,11.3107040800179
-52,12.2669634958171
-50,13.5344726097366
-48,14.8542225024436
-46,16.0701433440942
-44,17.0740670825442
-42,17.7873311716947
-40,18.1616255412072
-38,18.1848603776757
-36,17.8815492337506
-34,17.3040660533138
-32,16.5186472367071
-30,15.5926786803744
-28,14.587121939662
-26,13.5540394658439
-24,12.537108794173
-22,11.5728232280756
-20,10.6907427634203
-18,9.91211691013826
-16,9.24737059708521
-14,8.69408703646478
-12,8.2374532722933
-10,7.85396987295624
-8,7.51720243180652
-6,7.20320398178763
-4,6.89383082961289
-2,6.57763602860213
0,6.24907714542202
2,5.90700532987682
4,5.55313042676771
6,5.19079113520667
8,4.82410041184492
10,4.45740952791173
12,4.09499696645945
14,3.74089526003773
16,3.398790925314
18,3.0719559111214
20,2.76318846731383
22,2.47475616184434
24,2.20834429648869
26,1.96501956497007
28,1.74522139838688
30,1.5487916372717
32,1.3750466751142
34,1.22288572599048
36,1.09091692912897
38,0.977574234901123
40,0.881197867447468
42,0.800063111444937
44,0.732364388336551
46,0.676185013786649
48,0.629493818125466
50,0.590198020279892
52,0.556251740046617
54,0.525790142207715
56,0.497248758214344
58,0.46943854804479
60,0.441567725820156
62,0.413218051372605
64,0.384290819750978
66,0.354937831382
68,0.325489106631813
70,0.296385029697387
72,0.26811743741979
74,0.241182340243731
76,0.216046433537924
78,0.19313005326872
80,0.17281008461354
82,0.155445901795283
84,0.141426224786204
86,0.131219772885989
88,0.125387573458124
90,0.124502851986417
92,0.128976772864848
94,0.138899346019175
96,0.15402656136916
98,0.173904776264688
100,0.198014124260533
102,0.225854500878066
104,0.256976433095263
106,0.290986143517398
108,0.327546030964635
110,0.366379364863707
112,0.407280796350365
114,0.450131332973821
116,0.494915493238583
118,0.541738234543332
120,0.590839503777163
122,0.642604814502376
124,0.697571099412961
126,0.756428121179983
128,0.820016674742742
130,0.889325248021819
132,0.965486284899364
134,1.04977152694268
136,1.14358343289206
138,1.24843732864522
140,1.36592801762453
142,1.49767613118742
144,1.64525364675938
146,1.81009361262885
148,1.99339414641762
150,2.19602922594169
152,2.41847774788704
154,2.66077835580279
156,2.92251224875266
158,3.20281134972098
160,3.50038604140945
162,3.81356557472206
164,4.14034505148626
166,4.47843520408984
168,4.82531476645983
170,5.17829001515028
172,5.53457222341231
174,5.89139148791647
176,6.246174407793
178,6.5968219581231
180,6.94212865080903
