"Theta [deg]","dB(GainLHCP) [] - Freq='1.575GHz' Phi='90.0000000000002deg'","dB(GainRHCP) [] - Freq='1.575GHz' Phi='90.0000000000002deg'"
-180,-13.2948635512695,-4.23216720856073
-178,-13.3872667567262,-4.69055552487012
-176,-13.5012614380363,-5.15471285805822
-174,-13.6185531648332,-5.61712991768892
-172,-13.7168899828059,-6.06849590650283
-170,-13.7718582692429,-6.49808820590077
-168,-13.7604772366562,-6.89459140041088
-166,-13.6660953331844,-7.24736097106216
-164,-13.4829101720302,-7.54797826627491
-162,-13.2179545689329,-7.7917499127856
-160,-12.8894715323702,-7.97870601091299
-158,-12.5225990035751,-8.11375639191529
-156,-12.1444949061171,-8.20595835935722
-154,-11.7806686671762,-8.26717062848767
-152,-11.453116509603,-8.31053185344681
-150,-11.1799468039523,-8.34915025045011
-148,-10.9758791418515,-8.39520956364019
-146,-10.8530934850474,-8.45951325893083
-144,-10.8221041874335,-8.55137761780361
-142,-10.8924825491906,-8.67875096472427
-140,-11.0733042832152,-8.84845140930516
-138,-11.3731379069985,-9.06644847300667
-136,-11.7991665075521,-9.33814612808801
-134,-12.3545115301236,-9.66864899502249
-132,-13.0317434906155,-10.0630092858861
-130,-13.7987664096689,-10.5264616956969
-128,-14.5724954824884,-11.0646594093505
-126,-15.1863033550375,-11.6839289683724
-124,-15.400382889422,-12.3915668684088
-122,-15.0349911709685,-13.1962084029015
-120,-14.1368171816441,-14.1083120307353
-118,-12.9307070519745,-15.1408246876005
-116,-11.6362367282517,-16.3101329067261
-114,-10.3852154697486,-17.6374772906759
-112,-9.23727748884528,-19.1511479418371
-110,-8.21270912692971,-20.8900643843918
-108,-7.3139474584465,-22.90997037845
-106,-6.53639450052489,-25.2949743171309
-104,-5.8733197070055,-28.181160654626
-102,-5.31795192645402,-31.8110198064733
-100,-4.86431043272074,-36.6764993956377
-98,-4.5074895116051,-43.8036802429351
-96,-4.24371790460463,-48.6616369909287
-94,-4.0703366793597,-44.5336689034167
-92,-3.98575961848399,-43.2297115753763
-90,-3.98944486336002,-44.8631985303274
-88,-4.08189104124941,-48.2773915606264
-86,-4.26466447745248,-42.2649858657839
-84,-4.54046110995946,-35.726616631528
-82,-4.91320427339398,-31.1363195193702
-80,-5.3881744423609,-27.6543855917126
-78,-5.97215369624763,-24.8614207801841
-76,-6.6735333340866,-22.5419297022
-74,-7.50224670085153,-20.5718869898859
-72,-8.46917360224931,-18.8733766525562
-70,-9.58412534966447,-17.3941730884426
-68,-10.8502056342662,-16.0975098713032
-66,-12.2493895007683,-14.9564893500473
-64,-13.7094436549033,-13.9508087312987
-62,-15.0460966616732,-13.0647314094002
-60,-15.9343550075507,-12.2857692462555
-58,-16.0804078404006,-11.6037912375643
-56,-15.5327533556125,-11.0103983384017
-54,-14.6234158746169,-10.4984696734622
-52,-13.6493988829618,-10.0618213503047
-50,-12.7630500068781,-9.6949394843514
-48,-12.0196165243921,-9.39276072574495
-46,-11.4301338731024,-9.15048017624798
-44,-10.9889094117828,-8.96337016704707
-42,-10.6850379742536,-8.82659532064449
-40,-10.5067066240128,-8.73501087241625
-38,-10.4425251579274,-8.68293385390924
-36,-10.4816404163122,-8.6638824990512
-34,-10.6133213961269,-8.67029097612913
-32,-10.8262700390288,-8.69322765858038
-30,-11.1077541433251,-8.72217810049207
-28,-11.4426357143759,-8.74499652186937
-26,-11.8124422286612,-8.74816866819414
-24,-12.1947936268883,-8.71753365127811
-22,-12.5637158236271,-8.63953841236873
-20,-12.891487844522,-8.50291673706585
-18,-13.1523798372563,-8.30043507820517
-16,-13.3276998714208,-8.03016833064626
-14,-13.4103208893208,-7.69582720830661
-12,-13.4064306593316,-7.30599018958125
-10,-13.3334961235487,-6.87251698003372
-8,-13.2155545236187,-6.40867579620098
-6,-13.0781043044034,-5.92748705265898
-4,-12.9443631738866,-5.44056476406931
-2,-12.8334061176826,-4.95749734497231
0,-12.7597900379255,-4.48566073095175
2,-12.7340117898305,-4.0303112438669
4,-12.7632751395647,-3.594824584689
6,-12.8522627592037,-3.18098902633128
8,-13.0037801094254,-2.78930038327358
10,-13.2192347233795,-2.41923460126221
12,-13.4989567477755,-2.06949057565018
14,-13.8423784747348,-1.73820394690962
16,-14.2480884720354,-1.42313530089287
18,-14.7137692374247,-1.12183592403132
20,-15.2360216390326,-0.831792786291556
22,-15.8100793795362,-0.550552905232201
24,-16.4294281594739,-0.275826371328783
26,-17.0853751601432,-0.00556736671874579
28,-17.7666735182647,0.261966608317501
30,-18.4593949081905,0.528175767641593
32,-19.1473372358591,0.79409658248833
34,-19.8132813138851,1.06039446643364
36,-20.4412513375217,1.32736745039791
38,-21.0195084203789,1.59495865981324
40,-21.543443248828,1.86277672471486
42,-22.0172427460298,2.13012439682223
44,-22.4535795416844,2.39603615904692
46,-22.8714881605325,2.65932528319564
48,-23.2933918452728,2.91863972573369
50,-23.7423918650588,3.17252480812096
52,-24.2405048683895,3.4194892706386
54,-24.8079885485865,3.6580704158922
56,-25.4635668894452,3.88689388628157
58,-26.2253025991368,4.10472414778882
60,-27.1119663296719,4.31050280762557
62,-28.1449293507352,4.50337321809879
64,-29.3508410131822,4.68269115872198
66,-30.7657151848974,4.84802254979038
68,-32.4417407222548,4.99913002323593
70,-34.4596101869821,5.1359507261064
72,-36.9522666765098,5.25856797715486
74,-40.1487520519618,5.36717938525433
76,-44.3799705272656,5.46206382748666
78,-48.7282979302168,5.54354933262745
80,-47.2597006015625,5.611983476502
82,-43.5704885426098,5.66770741954653
84,-40.9340249872317,5.71103425053536
86,-39.1500194080016,5.74223188600315
88,-37.9354493636664,5.76151044743932
90,-37.1244349480071,5.76901382205357
92,-36.6189006782256,5.76481501761309
94,-36.3559589085383,5.74891494088425
96,-36.2897667473993,5.72124433970781
98,-36.3795323746158,5.68166881443327
100,-36.579173022659,5.62999698068178
102,-36.8269754614068,5.56599200552117
104,-37.0376139034089,5.48938680104806
106,-37.1055602691655,5.39990311137867
108,-36.9320652232664,5.29727455380307
110,-36.4701920291418,5.18127337106701
112,-35.7499335828071,5.05174023368811
114,-34.8549852732555,4.90861592684127
116,-33.87648798532,4.7519732052572
118,-32.8829846116327,4.58204655223611
120,-31.9141568754759,4.39925709791324
122,-30.9863369046514,4.2042296148931
124,-30.0999746376551,3.99779841056211
126,-29.2456762152637,3.78099918184919
128,-28.4087299631813,3.55504459452757
130,-27.5728183223315,3.32128256657244
132,-26.7233469234277,3.08113796604905
134,-25.8502783281546,2.83604054307667
136,-24.9499636320369,2.58734410887806
138,-24.0254988293605,2.33624381778974
140,-23.0855926393344,2.08369940970313
142,-22.1424798031219,1.83037203304824
144,-21.2096571987762,1.57658065455815
146,-20.3000608686381,1.32228130545775
148,-19.4249446662388,1.06706910574631
150,-18.5934151808495,0.810199939559467
152,-17.8124304951836,0.550626565460506
154,-17.087056248063,0.287043288456013
156,-16.4208219299983,0.0179341351989391
158,-15.8160804637059,-0.258378583276629
160,-15.2743210695429,-0.543685937691424
162,-14.7964146485664,-0.839842433263257
164,-14.382785855683,-1.14871063913669
166,-14.0335115115661,-1.4720953226684
168,-13.7483447923418,-1.81166144615845
170,-13.5266611104958,-2.16883034864939
172,-13.3673161596046,-2.54464878217524
174,-13.2684003892871,-2.93962622304369
176,-13.2268690894684,-3.35353742420095
178,-13.2380274058491,-3.78519046201783
180,-13.2948635512695,-4.23216720856072
