"Phi [deg]","dB(GainLHCP) [] - Freq='1.575GHz' Theta='90.0000000000002deg'","dB(GainRHCP) [] - Freq='1.575GHz' Theta='90.0000000000002deg'"
-180,-12.5182510984974,-4.10533964848099
-178,-12.5770220518887,-4.53667960435631
-176,-12.6620678344565,-4.97104320347805
-174,-12.7597867809069,-5.40232822171845
-172,-12.8532921647592,-5.8232635986215
-170,-12.9231856154302,-6.22569350511117
-168,-12.94945809219,-6.60109865283163
-166,-12.9145629060034,-6.94135814652088
-164,-12.8070588604922,-7.23967982713943
-162,-12.6245638191681,-7.49153990891345
-160,-12.3747080403006,-7.69541642253109
-158,-12.0736313504642,-7.85312030804968
-156,-11.742778321299,-7.96963377005344
-154,-11.4053803961103,-8.0525147434856
-152,-11.0837476626213,-8.11104581744495
-150,-10.7977834247557,-8.15534356592223
-148,-10.5645615190918,-8.19560059359203
-146,-10.3985805766786,-8.24154866210737
-144,-10.3123328940457,-8.30215235538924
-142,-10.3169334785595,-8.38549356705583
-140,-10.422640751304,-8.49878952174288
-138,-10.6391152919124,-8.64849082869755
-136,-10.9751699842814,-8.84041943819484
-134,-11.4374893128464,-9.07992115974463
-132,-12.0271741807097,-9.37201965543514
-130,-12.7317485858162,-9.72156751447466
-128,-13.5085562011587,-10.1333955881637
-126,-14.2563888169715,-10.6124651539174
-124,-14.7891098365948,-11.1640296267828
-122,-14.8727264759645,-11.7938142345054
-120,-14.3808922714,-12.5082239451065
-118,-13.41669295267,-13.314592513505
-116,-12.2108145637965,-14.2214893038528
-114,-10.957640196125,-15.2391060963997
-112,-9.76613842273512,-16.3797540047994
-110,-8.68342369189049,-17.658511430423
-108,-7.72426175321989,-19.0940775313109
-106,-6.88900417596019,-20.7098994292726
-104,-6.17244347521132,-22.5356452985541
-102,-5.56782057120046,-24.6090585180025
-100,-5.06853976610275,-26.9780641196818
-98,-4.66885153446135,-29.7024914241812
-96,-4.36408605310851,-32.8534250145452
-94,-4.15070193430743,-36.5042117475355
-92,-4.02626976953254,-40.6787195672219
