"Theta [deg]","dB(GainPhi) [] - Freq='1.575GHz' Phi='90.0000000000002deg'","dB(GainTheta) [] - Freq='1.575GHz' Phi='90.0000000000002deg'"
-180,-9.63237295067343,-5.01167005644754
-178,-10.2191272202951,-5.37085232165085
-176,-10.834977366339,-5.72989689551646
-174,-11.4800814979393,-6.07858770525682
-172,-12.1532756592676,-6.40462985390725
-170,-12.8517174960019,-6.69445943731766
-168,-13.5705336005779,-6.93473103319696
-166,-14.3025457042747,-7.11437950763765
-164,-15.0382146493059,-7.22682046348289
-162,-15.7660108587921,-7.27159835549404
-160,-16.4734500637145,-7.25485507716766
-158,-17.1489439592914,-7.18843452735015
-156,-17.7843382367706,-7.08800394224678
-154,-18.3775908897728,-6.97089062569769
-152,-18.9347193746752,-6.85425764683227
-150,-19.4702167979185,-6.75392935621481
-148,-20.0056310857058,-6.68387112731707
-146,-20.5664877794864,-6.6561591891812
-144,-21.1775924292005,-6.6812417449077
-142,-21.8555104960896,-6.76832973058915
-140,-22.5944400339387,-6.92580903023864
-138,-23.3385847320566,-7.16160557291954
-136,-23.9390315437856,-7.48344801296999
-134,-24.136452660075,-7.89895091259494
-132,-23.6856606442892,-8.41536608999122
-130,-22.5915282585709,-9.03867740544689
-128,-21.1085855747217,-9.77135522325025
-126,-19.5055814498064,-10.607399990965
-124,-17.9423131872249,-11.5222530536951
-122,-16.4876822999943,-12.4547559761909
-120,-15.1629030864912,-13.2838623686953
-118,-13.9686327941544,-13.8258735197255
-116,-12.8978777007399,-13.9056890956995
-114,-11.9415112837399,-13.4882329531412
-112,-11.0904789900361,-12.7113938589802
-110,-10.3365940023518,-11.7705819315276
-108,-9.67275261431725,-10.8143392276774
-106,-9.09292194225496,-9.92546895131664
-104,-8.59204849687854,-9.14166357990003
-102,-8.16594889670433,-8.47665637993978
-100,-7.81120674668787,-7.93314924608512
-98,-7.52508394226181,-7.50948765798279
-96,-7.30544820669081,-7.20287904513433
-94,-7.15071625214013,-7.0109015932411
-92,-7.05981126138196,-6.93221140939808
-90,-7.03213340228761,-6.96689099709837
-88,-7.06754237092567,-7.11664786823802
-86,-7.166351329122,-7.38495162740509
-84,-7.32933199196768,-7.77712011217468
-82,-7.55773101134947,-8.3002779043591
-80,-7.85329818686705,-8.96294551329906
-78,-8.21832739452255,-9.77363525887919
-76,-8.65571138525732,-10.7369097592363
-74,-9.16901158233746,-11.8432397998327
-72,-9.76254325406748,-13.0450277389029
-70,-10.4414739421172,-14.2094271917719
-68,-11.2119264938175,-15.0679555607774
-66,-12.0810622713763,-15.2890173527695
-64,-13.0570831171684,-14.767060206198
-62,-14.1490045579203,-13.7470654876686
-60,-15.3658522633998,-12.5562028630307
-58,-16.7144689473863,-11.3982798200409
-56,-18.1940735021431,-10.3593536420743
-54,-19.7836163787377,-9.46411158473047
-52,-21.4153157907291,-8.71195002041153
-50,-22.9324938436212,-8.0934442638642
-48,-24.0709600129214,-7.59696080405866
-46,-24.5761906532564,-7.21106066172927
-44,-24.4343047929977,-6.92519863577004
-42,-23.8811439897819,-6.72974576585477
-40,-23.1729801677988,-6.61574221797527
-38,-22.4587380516959,-6.57453467112891
-36,-21.7941607553976,-6.59735089544053
-34,-21.1845011739004,-6.67482847894965
-32,-20.6127292430216,-6.79651298537079
-30,-20.0543164791101,-6.95036445929996
-28,-19.4851647183968,-7.12235952507456
-26,-18.8862863500664,-7.29634527778402
-24,-18.2464004477824,-7.45436823983852
-22,-17.5626039593129,-7.57771073534405
-20,-16.8392973135301,-7.64873425600133
-18,-16.0859590794296,-7.65330499923452
-16,-15.3146045069064,-7.58315816009068
-14,-14.5376183779621,-7.43733115147939
-12,-13.7662863953167,-7.22204193809895
-10,-13.0100184278914,-6.94904873378068
-8,-12.2760872418561,-6.63316194830093
-6,-11.5696796974997,-6.28977370052407
-4,-10.8941024773265,-5.93300934151823
-2,-10.2510441734739,-5.57468539680571
0,-9.64084339507769,-5.22395115853632
2,-9.06274283584149,-4.88737529751428
4,-8.51512517376045,-4.56925663825675
6,-7.99573314811041,-4.27200711767957
8,-7.50187709978536,-3.99652293227205
10,-7.03063128197001,-3.742508166843
12,-6.57901705203507,-3.50874335524306
14,-6.14416787545497,-3.29330508062586
16,-5.72346889877725,-3.09374762481226
18,-5.31466342284022,-2.90725792888994
20,-4.91592027220273,-2.73079323201283
22,-4.52585960640229,-2.56120810357884
24,-4.14353939149575,-2.3953748981447
26,-3.76840942721255,-2.23029927596364
28,-3.40024337894264,-2.06323044126952
