"Phi [deg]","dB(GainPhi) [] - Freq='1.575GHz' Theta='90.0000000000002deg'","dB(GainTheta) [] - Freq='1.575GHz' Theta='90.0000000000002deg'"
-180,-4.81116246102861,-9.42013464630155
-178,-5.12946587121728,-9.99414119531901
-176,-5.44747380892104,-10.5923530478652
-174,-5.75721757771923,-11.2155380626735
-172,-6.04919352458348,-11.8639972587989
-170,-6.31286129173635,-12.5374203664328
-168,-6.5375604842995,-13.2347150184984
-166,-6.7138255060401,-13.953805449571
-164,-6.83490629744169,-14.6914114118365
-162,-6.89813128026818,-15.4428491366058
-160,-6.90569560121523,-16.2019466049803
-158,-6.86460503077486,-16.9612279834726
-156,-6.78580485288143,-17.712567307633
-154,-6.68280500014576,-18.4484788446145
-152,-6.57022291936166,-19.1640263610111
-150,-6.46258263269644,-19.858970574934
-148,-6.37352910257572,-20.5393341976703
-146,-6.31545419631272,-21.21723432171
-144,-6.29943969879425,-21.9076292281006
-142,-6.33540004089567,-22.6201105975535
-140,-6.43232296462851,-23.3423939858374
-138,-6.59853187342016,-24.010951195801
-136,-6.84191099769136,-24.4737096437572
-134,-7.17003274038022,-24.4946631148098
-132,-7.590094234989,-23.8904868459549
-130,-8.10848610737046,-22.7133594493391
-128,-8.72963806458179,-21.2051676149354
-126,-9.4534382582308,-19.6003233934369
-124,-10.2699242308849,-18.0379794144204
-122,-11.1492371442971,-16.580294650347
-120,-12.0253983074483,-15.2479630603677
-118,-12.7793349039076,-14.0429416615719
-116,-13.2466673549274,-12.9597022607108
-114,-13.2879884546139,-11.9902786946353
-112,-12.8908698022097,-11.1264079815212
-110,-12.1809630905771,-10.3603786222872
-108,-11.3263275024714,-9.68531847450832
-106,-10.4565225875324,-9.09524731750665
-104,-9.64678993794311,-8.58503730547467
-102,-8.93351130093361,-8.15034369212631
-100,-8.33138376633734,-7.78753223551057
-98,-7.84456480017806,-7.49361371034252
-96,-7.47274830578417,-7.26618897745658
-94,-7.21425540571015,-7.10340516702111
-92,-7.06757292307791,-7.00392249198919
-90,-7.03213340228761,-6.96689099709837
-88,-7.10874619190693,-6.99193669589481
-86,-7.29988593683641,-7.07915684068095
-84,-7.60993846361278,-7.22912441611895
-82,-8.04543792497768,-7.44290231018488
-80,-8.61525870592286,-7.72206798014743
-78,-9.33058869667156,-8.06874977419515
-76,-10.2041676786163,-8.48567633133821
-74,-11.2473636194656,-8.9762405083428
-72,-12.4612608664604,-9.54457870386268
-70,-13.8122427340451,-10.1956644226561
