"Freq [GHz]","dB(S(p1,p1)) []","dB(S(p2,p2)) []"
1.45,-0.134008207085059,-0.135949711543867
1.452,-0.13802675666227,-0.140044413273483
1.454,-0.142248856597639,-0.144346791957258
1.456,-0.146687946799576,-0.148870580146731
1.458,-0.151358588101036,-0.153630657154234
1.46,-0.156276575136175,-0.158643164665158
1.462,-0.161459062590484,-0.163925636062189
1.464,-0.166924706651356,-0.169497141336503
1.466,-0.172693823769366,-0.175378449751813
1.468,-0.178788569173137,-0.181592212768886
1.47,-0.185233137971969,-0.188163170140188
1.472,-0.192053992142184,-0.195118382558616
1.474,-0.19928011723898,-0.202487494805151
1.476,-0.206943313323005,-0.210303034005753
1.478,-0.215078525360421,-0.218600748398436
1.48,-0.223724219272927,-0.22741999295479
1.482,-0.232922810910863,-0.236804169327526
1.484,-0.24272115653819,-0.246801228947964
1.486,-0.253171114999711,-0.257464249723354
1.488,-0.26433019364942,-0.268852098746267
1.49,-0.276262292428179,-0.281030195802474
1.492,-0.289038563283063,-0.294071395347386
1.494,-0.302738405536645,-0.308057008133683
1.496,-0.317450621990423,-0.323077987967071
1.498,-0.33327476566959,-0.339236314335848
1.5,-0.350322713424193,-0.356646608146806
1.502,-0.368720510397655,-0.375438025818034
1.504,-0.388610539046107,-0.395756486926371
1.506,-0.410154078439928,-0.417767302997916
1.508,-0.43353433464722,-0.441658290525751
1.51,-0.458960041923799,-0.467643470760313
1.512,-0.486669758304447,-0.495967483361791
1.514,-0.516937009430932,-0.526910872096468
1.516,-0.550076472937277,-0.560796440321126
1.518,-0.586451444916042,-0.597996924574395
1.52,-0.62648289319579,-0.638944299548473
1.522,-0.670660483751089,-0.684141111546229
1.524,-0.719556072418108,-0.734174346260097
1.526,-0.773840292125352,-0.789732478464836
1.528,-0.834303046819752,-0.851626537010799
1.53,-0.901878961851963,-0.920816263380003
1.532,-0.977679156974673,-0.998442766715776
1.534,-1.06303113032405,-1.08586951138578
1.536,-1.15952910909028,-1.18473405510353
1.538,-1.26909799086377,-1.29701374379095
1.54,-1.39407504952409,-1.42510964681315
1.542,-1.53731503010427,-1.57195450610801
1.544,-1.70232628911047,-1.74115256299239
1.546,-1.89344853464536,-1.93716211450582
1.548,-2.11608695101708,-2.16553602891156
1.55,-2.37702385965283,-2.43324207201343
1.552,-2.68483903379319,-2.74909532736679
1.554,-3.05048615200992,-3.1243522564171
1.556,-3.48810131212425,-3.57354618311101
1.558,-4.01617209138534,-4.11570033829566
1.56,-4.65929937146187,-4.77616665890319
1.562,-5.45100335117505,-5.58957708701531
1.564,-6.43852426168967,-6.60494156373711
1.566,-7.6918099493041,-7.89530241320709
1.568,-9.32235067663577,-9.57825054126256
1.57,-11.5289305843539,-11.8666929844518
1.572,-14.735529110915,-15.2263766693089
1.574,-20.2018609516059,-21.1162989823033
1.576,-39.9122190725206,-49.6596759188967
1.578,-22.2157874836992,-21.3003636402399
1.58,-15.7528082459454,-15.352902172668
1.582,-12.2209913982952,-11.9871072927168
1.584,-9.85505214900525,-9.70333242285296
1.586,-8.13062667767035,-8.02746671280598
1.588,-6.81556214527652,-6.74386189476697
