Phi[deg],Theta[deg],mag(rETheta/rEphi),ang_rad(rETheta/rEPhi)[rad]
-180,-180,0.583346,1.09844
-178,-180,0.562999,1.13522
-176,-180,0.544575,1.17522
-174,-180,0.528144,1.2184
-172,-180,0.513784,1.26462
-170,-180,0.501573,1.31368
-168,-180,0.491589,1.36525
-166,-180,0.483903,1.41896
-164,-180,0.478575,1.47429
-162,-180,0.475648,1.5307
-160,-180,0.475148,1.58756
-158,-180,0.47708,1.64423
-156,-180,0.481426,1.70008
-154,-180,0.488151,1.75451
-152,-180,0.497199,1.80702
-150,-180,0.508504,1.85715
-148,-180,0.521991,1.90457
-146,-180,0.537581,1.94901
-144,-180,0.555195,1.99033
-142,-180,0.57476,2.02844
-140,-180,0.59621,2.0633
-138,-180,0.619487,2.09496
-136,-180,0.644546,2.12345
-134,-180,0.671351,2.14888
-132,-180,0.699881,2.17132
-130,-180,0.730123,2.19089
-128,-180,0.762079,2.20769
-126,-180,0.795759,2.2218
-124,-180,0.831182,2.23331
-122,-180,0.868379,2.24229
-120,-180,0.907384,2.24881
-118,-180,0.948237,2.25289
-116,-180,0.990983,2.25458
-114,-180,1.03567,2.25387
-112,-180,1.08232,2.25078
-110,-180,1.13099,2.24527
-108,-180,1.18169,2.2373
-106,-180,1.23442,2.22684
-104,-180,1.28915,2.2138
-102,-180,1.34582,2.19812
-100,-180,1.40431,2.1797
-98,-180,1.46443,2.15845
-96,-180,1.52591,2.13426
-94,-180,1.5884,2.10704
-92,-180,1.65138,2.07669
-90,-180,1.71425,2.04315
-88,-180,1.7762,2.00638
-86,-180,1.8363,1.96637
-84,-180,1.89342,1.92319
-82,-180,1.94634,1.87697
-80,-180,1.99373,1.82792
-78,-180,2.03422,1.77634
-76,-180,2.06653,1.72264
-74,-180,2.08954,1.6673
-72,-180,2.1024,1.61089
-70,-180,2.10461,1.55403
-68,-180,2.09609,1.49737
-66,-180,2.07716,1.44152
-64,-180,2.04855,1.38708
-62,-180,2.01127,1.33457
-60,-180,1.96655,1.28444
-58,-180,1.91574,1.23703
-56,-180,1.86019,1.19258
-54,-180,1.80117,1.15126
-52,-180,1.73986,1.11315
