"Theta [deg]","dB(AxialRatioValue) [] - Freq='1.575GHz' Phi='90.0000000000002deg'"
-180,6.62660115951172
-178,6.94037195253613
-176,7.26356791047583
-174,7.60732140329216
-172,7.98629516184805
-170,8.41780891017244
-168,8.91989205518538
-166,9.50837708632832
-164,10.1936297757003
-162,10.9778228509649
-160,11.8535036666739
-158,12.8036177688277
-156,13.8025200890516
-154,14.8172372838374
-152,15.8084526090844
-150,16.7312177545239
-148,17.5360147787294
-146,18.1712322929419
-144,18.5880425372845
-142,18.7477342692677
-140,18.6299050831573
-138,18.238659192933
-136,17.6046511811582
-134,16.7837272059517
-132,15.8563445166493
-130,14.9342369111226
-128,14.1823313957428
-126,13.8664157950656
-124,14.4472292581466
-122,16.8425141729468
-120,24.294122454662
-118,25.8068112599892
-116,14.971802548832
-114,10.246982125175
-112,7.33997771366311
-110,5.34554624649582
-108,3.90228243536256
-106,2.82717853822358
-104,2.01584228209972
-102,1.40543285410022
-100,0.958865045601278
-98,0.657432837014827
-96,0.490504567157284
-94,0.427208267197141
-92,0.404870174135377
-90,0.368527857435792
-88,0.288287398723765
-86,0.14838935218148
-84,0.071440673679049
-82,0.368742713320882
-80,0.774029820262514
-78,1.31045222584062
-76,2.01582967976868
-74,2.94832162774994
-72,4.20196714522819
-70,5.94123480949138
-68,8.49209484659087
-66,12.6646202416865
-64,21.9875206154042
-62,23.0527595205016
-60,14.2358209323654
-58,11.4789817455134
-56,10.9713893029318
-54,11.6152888102746
-52,12.7980971590012
-50,14.1822724071382
-48,15.5812657443536
-46,16.8757057553449
-44,17.9731302074773
-42,18.7958218853708
-40,19.2848832274116
-38,19.4109403832747
-36,19.1815718026856
-34,18.6386389368778
-32,17.8462504345755
-30,16.8760581169323
-28,15.7962462083501
-26,14.666307680297
-24,13.5361810261561
-22,12.4472203108371
-20,11.4329450367648
-18,10.5185291568952
-16,9.71911979004766
-14,9.03811278541431
-12,8.46698878064042
-10,7.98771324912709
-8,7.57723374174518
-6,7.21239502819769
-4,6.87359276200175
-2,6.54646045290459
0,6.22188193860126
2,5.89505661948038
4,5.56427645617329
6,5.2298104428181
8,4.8930533838047
10,4.55595133624222
12,4.22065332352919
14,3.8893245621719
16,3.56406370799886
18,3.24688018027715
20,2.93970059817808
22,2.64438359847275
24,2.36272972457534
26,2.09647828176401
28,1.84728664015081
30,1.61668978401534
32,1.4060390430147
34,1.21641895266385
36,1.04854067189399
38,0.902611490333543
40,0.778187394693817
42,0.674035298922665
44,0.588062288763585
46,0.517389481038802
48,0.458618598009555
50,0.408248591202871
52,0.363108862606433
54,0.32066857757042
56,0.279160783475718
58,0.237549198395149
60,0.195406121809355
62,0.152764593134326
64,0.109988664532982
66,0.0677160875484874
68,0.0273638043346705
70,0.018165475092037
72,0.0536082261466311
74,0.0881076749288906
76,0.119460321248621
78,0.147046006916994
80,0.170460983161164
82,0.189426454550276
84,0.203772543247584
86,0.21343294331649
88,0.218440898943366
90,0.218924886457755
92,0.215104558447883
94,0.20728916679556
96,0.195883216401946
98,0.181408900156459
100,0.164564546117543
102,0.146357537135153
104,0.128380570117351
106,0.113291389380607
108,0.105203359083099
110,0.108593705384391
112,0.125144000695604
114,0.152904961947437
116,0.189025487715151
118,0.231501701879249
120,0.27925039740161
122,0.331809168787115
124,0.389134848165923
126,0.451517790932124
128,0.519562242105431
130,0.594191965322369
132,0.676651011344636
134,0.768477070564838
136,0.871433518237283
138,0.987398191893034
140,1.11822046313989
142,1.26556868928611
144,1.43079319071798
146,1.61482444008541
148,1.81811532337578
150,2.04062525017519
152,2.28183649736118
154,2.54079071485742
156,2.81613503305231
158,3.10617084592136
160,3.40890247218841
162,3.72208657209588
164,4.04328617078469
166,4.36993567045018
168,4.69942584030084
170,5.02922096594432
172,5.35702432175261
174,5.68101241520427
176,6.00016132320626
178,6.31468619669686
180,6.62660115951171
