"Phi [deg]","dB(GainLHCP) [] - Freq='1.575GHz' Theta='90.0000000000002deg'","dB(GainRHCP) [] - Freq='1.575GHz' Theta='90.0000000000002deg'"
-180,-12.6562228059875,-4.36847315308524
-178,-12.6864102515314,-4.80367119893063
-176,-12.7479286498029,-5.24603528903663
-174,-12.8282268408595,-5.69005960731931
-172,-12.9111311332327,-6.12873153940554
-170,-12.9774374813744,-6.55363513148711
-168,-13.0066496624714,-6.95530053619313
-166,-12.980014479307,-7.32387035067843
-164,-12.8843568990215,-7.65009251574079
-162,-12.715452108814,-7.92653647368393
-160,-12.4794521288791,-8.14879660558393
-158,-12.1916707295613,-8.31636696246643
-156,-11.8733641271546,-8.43291754222705
-154,-11.5479778726284,-8.50588290512807
-152,-11.2381559584664,-8.54550293500464
-150,-10.9640517020256,-8.56360986782709
-148,-10.7428147780993,-8.57246892469686
-146,-10.5888444628248,-8.5838800868367
-144,-10.5144091479039,-8.60861475398397
-142,-10.530350876604,-8.65615823232431
-140,-10.6466963873973,-8.73467948341551
-138,-10.8730273655866,-8.85114323105696
-136,-11.218386806644,-9.01149591524046
-134,-11.6902449756517,-9.22087954809647
-132,-12.2914518383033,-9.4838474212778
-130,-13.0128649991185,-9.80456997274825
-128,-13.8173471908212,-10.1870282271964
-126,-14.6104816962472,-10.6351974621292
-124,-15.2076640396867,-11.1532265630638
-122,-15.3583183301252,-11.7456200428986
-120,-14.9043695983152,-12.4174306709327
-118,-13.9346169688351,-13.1744715212941
-116,-12.6931778446953,-14.0235571406679
-114,-11.3926301293236,-14.9727841810608
-112,-10.1521763112873,-16.0318612051249
-110,-9.02270169550556,-17.2124926488116
-108,-8.01981602513699,-18.5288060360484
-106,-7.14372687607045,-19.9977666964766
-104,-6.38885730701089,-21.6394053794708
-102,-5.74809667854451,-23.4763759420421
-100,-5.21456807371532,-25.5315685774563
-98,-4.78230222641719,-27.820518028495
-96,-4.44644707461508,-30.3308065779415
-94,-4.2032923419574,-32.9735268320803
-92,-4.05023258496735,-35.4989974495633
-90,-3.98572312290123,-37.4545055957898
-88,-4.00925295392006,-38.3609493911931
-86,-4.12134578784244,-37.9533392796498
-84,-4.3235951379111,-36.2760949445693
-82,-4.61873751034216,-33.7907816841023
-80,-5.01076649977322,-31.07257888863
-78,-5.50508741433163,-28.4610880143596
-76,-6.10870214383653,-26.0786062510098
-74,-6.83038621963137,-23.945161047719
-72,-7.68074655598528,-22.044901838
-70,-8.67185772794446,-20.352885436646
-68,-9.81568172179433,-18.8444058828195
-66,-11.1192143761286,-17.4977488927806
-64,-12.5712508432192,-16.2946275459445
-62,-14.1098333018119,-15.2198678254464
-60,-15.5585454107711,-14.2609069462517
-58,-16.5749417577012,-13.4072965388498
-56,-16.8088083945782,-12.650266641682
-54,-16.2762471582892,-11.9823576553496
-52,-15.3395030510721,-11.3971112052917
-50,-14.3316968633705,-10.8888066044129
-48,-13.4196524468657,-10.4522294453229
-46,-12.6606748815476,-10.0824598532946
-44,-12.0642163811685,-9.77466914604645
-42,-11.6225763486418,-9.52391501195267
-40,-11.3231969568084,-9.32492729648127
-38,-11.1530348103591,-9.17188000275571
-36,-11.0998082055448,-9.05815158037173
-34,-11.1520283904843,-8.97608681575061
-32,-11.2985340138928,-8.91679136089028
-30,-11.5277866867522,-8.87001433923152
-28,-11.8270210135628,-8.82420146643083
-26,-12.1813154497232,-8.76681869299895
-24,-12.5727143936635,-8.68503281936383
-22,-12.9796765417599,-8.56676600895389
-20,-13.3773152714644,-8.40200830345383
-18,-13.7390044001604,-8.1841143456071
-16,-14.0396914149759,-7.9107167204968
-14,-14.2604719164056,-7.5839487795136
-12,-14.3928799987968,-7.2098904207058
-10,-14.4408627290885,-6.79742005280676
-8,-14.4193483222043,-6.35682455129098
-6,-14.3501693909362,-5.89851536296669
-4,-14.2573095088836,-5.43206889985114
-2,-14.1631930275953,-4.9656522519685
0,-14.0866692364632,-4.50578391812407
2,-14.0424513198511,-4.0573323813932
4,-14.0414406793981,-3.62365585232919
6,-14.0914318513324,-3.20680905434867
8,-14.1978834558122,-2.80776921027807
10,-14.3646052712378,-2.42665468025875
12,-14.5943120877271,-2.06292388418182
14,-14.8890428405143,-1.71555022934905
16,-15.2504592489975,-1.38317266414475
18,-15.6800371353426,-1.06422296670196
20,-16.1791541458847,-0.757031271573658
