"Theta [deg]","dB(GainPhi) [] - Freq='1.575GHz' Phi='90.0000000000002deg'","dB(GainTheta) [] - Freq='1.575GHz' Phi='90.0000000000002deg'"
-180,-9.56445127008557,-4.8345388937661
-178,-10.1347900479324,-5.14752131409678
-176,-10.7361732036179,-5.4560788536468
-174,-11.3701967534456,-5.75205574255831
-172,-12.0372241553892,-6.02610725887065
-170,-12.7359179306881,-6.26835897897875
-168,-13.4627041534051,-6.46943773016094
-166,-14.2112194172005,-6.62177657041489
-164,-14.971872135748,-6.72094259635262
-162,-15.7317735913303,-6.76663469766308
-160,-16.4754217659729,-6.76303835493538
-158,-17.1865395915872,-6.71842357706085
-156,-17.8512003927219,-6.64413442216213
-154,-18.4617257931073,-6.55329859985866
-152,-19.0200804361859,-6.45960230808501
-150,-19.5392550412899,-6.37636068807255
-148,-20.0418381809833,-6.31596125980918
-146,-20.5561126169977,-6.28964205608498
-144,-21.1104268902962,-6.30751210600641
-142,-21.7255450240807,-6.37871568955995
-140,-22.4021976277713,-6.51165817359266
-138,-23.0980766958092,-6.71422952351921
-136,-23.6909707712217,-6.99396841458686
-134,-23.9549698878123,-7.35809491167455
-132,-23.643099410408,-7.81328844478099
-130,-22.6981449554562,-8.36497241453627
-128,-21.3184247389991,-9.01563529186518
-126,-19.7675078601482,-9.76129494630504
-124,-18.2231998391988,-10.5845837449454
-122,-16.7703407944687,-11.4425982343129
-120,-15.4394186276867,-12.2501177569772
-118,-14.2357656150639,-12.8702760579957
-116,-13.1546000190614,-13.1451755226382
-114,-12.1877920559641,-12.9846292550694
-112,-11.3267018928856,-12.4380275365964
-110,-10.5632826645022,-11.6541713735323
-108,-9.89044253022207,-10.7847959948317
-106,-9.30210155309716,-9.93384088053076
-104,-8.79313223164676,-9.15816180169179
-102,-8.35926449466454,-8.48424171986308
-100,-7.99698871497048,-7.92231981703866
-98,-7.70346967709081,-7.47495302178009
-96,-7.47647557855001,-7.14160192459083
-94,-7.3143225158067,-6.92097194413985
-92,-7.21583359315109,-6.81220097944812
-90,-7.18031149015535,-6.81548713093116
-88,-7.20752344604925,-6.93246349789027
-86,-7.29769791170468,-7.16647504837952
-84,-7.45153247505732,-7.52282804870639
-82,-7.67021304075447,-8.0090179844421
-80,-7.95544461379782,-8.63484894673952
-78,-8.30949435599107,-9.41214811902488
-76,-8.73524774599825,-10.3532371648589
-74,-9.23627842703909,-11.4658864908743
-72,-9.81693110515389,-12.7388344475933
-70,-10.4824134172929,-14.1045019508422
-68,-11.2388842660863,-15.3632504111635
-66,-12.0935065724338,-16.1239533281467
-64,-13.0543878509645,-16.0121365915972
-62,-14.1302308044928,-15.1036794319497
-60,-15.3292861626376,-13.8224026603391
-58,-16.6566828457817,-12.5068143903817
-56,-18.108102241806,-11.3078449810138
-54,-19.6557525235816,-10.2694652122155
-52,-21.2209735924957,-9.39318208791988
-50,-22.6365594350538,-8.66685972851772
-48,-23.6470810615113,-8.07546796947839
-46,-24.0435067595266,-7.60465009963542
-44,-23.8567794860875,-7.24164323936034
-42,-23.3195309326155,-6.9752622080265
-40,-22.6600108355059,-6.79557068850259
-38,-22.0065704333144,-6.69345714747503
-36,-21.405245198967,-6.66018218283003
-34,-20.8566891439816,-6.68691091239174
-32,-20.3406263301575,-6.76423202290617
-30,-19.8295015951745,-6.88167572917233
-28,-19.2967702434024,-7.02727229556406
-26,-18.7224708508691,-7.18724050467506
-24,-18.096425169849,-7.34595470402344
-22,-17.4187028894546,-7.48638464115437
-20,-16.6975801862981,-7.59118224888521
-18,-15.9461206124568,-7.64443988250213
-16,-15.1787804185624,-7.6338491551108
-14,-14.4089645722526,-7.55266247511365
-12,-13.6477538999495,-7.40074123560037
-10,-12.9035557467426,-7.18424804591902
-8,-12.1822958004462,-6.91409900337051
-6,-11.487835134764,-6.60377287738948
-4,-10.8224189543462,-6.26718676564252
-2,-10.1870662155859,-5.91711625327278
0,-9.58187353654081,-5.56429936140766
2,-9.00623918979145,-5.21712005516591
4,-8.45902531509659,-4.88167412275278
6,-7.93867826693257,-4.56203287455949
8,-7.44332412500588,-4.26057478420868
10,-6.97085199895393,-3.97831082259293
12,-6.51899332169079,-3.71517002209011
14,-6.0854014210127,-3.47023657637315
16,-5.66773244876015,-3.24194260369879
18,-5.26372625530099,-3.02822607039195
20,-4.8712840365491,-2.82666459789738
22,-4.48853858363903,-2.63459497834292
24,-4.11391275974917,-2.44922626633092
26,-3.74616238885163,-2.26775179081835
28,-3.38440094612526,-2.08746255395241
30,-3.02810506232998,-1.90586139992334
32,-2.67710159403883,-1.72077426769633
34,-2.33153855996347,-1.53045215506431
36,-1.99184335884847,-1.33365561685403
38,-1.65867224480226,-1.12971321246001
40,-1.33285505377795,-0.918546647878827
42,-1.01533876983867,-0.700658397360281
44,-0.707132866470104,-0.47708184805601
46,-0.40925863030619,-0.249298611885408
48,-0.122704003996249,-0.0191315823484957
50,0.151615056624301,0.211375243509953
52,0.412886113177609,0.44007859630504
54,0.660424342958926,0.664849041506995
56,0.893689086127614,0.883667449399915
58,1.1122928935887,1.09469996003844
60,1.31600330017504,1.29634957227276
62,1.50473774114492,1.48728499254801
64,1.67855224555816,1.66644918321362
66,1.83762476577349,1.83305113226895
68,1.98223421647739,1.98654482949086
70,2.11273647257773,2.12659943136568
72,2.22953868593883,2.25306428273779
74,2.33307330392405,2.36593196336116
76,2.42377309516679,2.46530193544218
78,2.50204831054145,2.55134674717824
80,2.56826684628071,2.62428214003662
82,2.62273796296205,2.68434184470441
84,2.66569979109364,2.73175735629424
86,2.69731056770842,2.76674257334116
88,2.71764334035431,2.78948288304012
90,2.72668377326344,2.80012808741467
92,2.72433070340942,2.79878849540463
94,2.71039920707774,2.78553355035557
96,2.6846261152305,2.76039250907865
98,2.64667810859228,2.72335691707024
100,2.59616267597417,2.67438490553493
102,2.53264228181064,2.61340763190508
104,2.45565202530376,2.54033845130341
106,2.36472086853305,2.45508559117696
108,2.25939617183777,2.35756915311268
110,2.13927083042723,2.24774313694504
112,2.00401180211562,2.12562283602931
114,1.8533883094109,1.99131737008621
116,1.68729755415066,1.8450663083418
118,1.50578546852535,1.68727832551448
120,1.30905991571332,1.51856869768563
122,1.0974939216477,1.33979130087331
124,0.871617036962971,1.15205979554447
126,0.632093844292594,0.956752103893742
128,0.379689942534695,0.755492411443033
130,0.115227377404126,0.550106069563608
132,-0.160466741303753,0.342545192895109
134,-0.446613092337869,0.134786478674978
136,-0.742528066556187,-0.0712925040412177
138,-1.04766022798276,-0.27404740160183
140,-1.36160981764779,-0.472196512343303
142,-1.68412803872106,-0.664929031569034
144,-2.01509602489778,-0.851977343376286
146,-2.35448697158113,-1.03364370821927
148,-2.70231825015868,-1.21077906544947
150,-3.05860279858963,-1.38471939148551
152,-3.42331020639289,-1.55719106559182
154,-3.7963474242835,-1.73019955303076
156,-4.17756687980776,-1.90591506089741
158,-4.5668061157825,-2.08656535060442
160,-4.96395822786189,-2.27434091919852
162,-5.36906693130175,-2.47131266884458
164,-5.78243486419529,-2.67935799147217
166,-6.20472976177757,-2.90008840431372
168,-6.63707141951897,-3.13477053103633
170,-7.08108353098412,-3.3842321365477
172,-7.53889843939548,-3.64874590107713
174,-8.0131086033433,-3.92788571491276
176,-8.50666449946698,-4.22035398759477
178,-9.02272296499395,-4.52378486237418
180,-9.56445127008557,-4.8345388937661
