"Phi [deg]","dB(GainPhi) [] - Freq='1.575GHz' Theta='90.0000000000002deg'","dB(GainTheta) [] - Freq='1.575GHz' Theta='90.0000000000002deg'"
-180,-5.09592476980378,-9.56044907902868
-178,-5.4035984695677,-10.1520935400249
-176,-5.7153023104345,-10.7718164895576
-174,-6.02383539624685,-11.4208174802622
-172,-6.32008669262122,-12.0995419041916
-170,-6.59335622009216,-12.8072684206053
-168,-6.83212466432165,-13.5415913970291
-166,-7.02533065831941,-14.2978309551153
-164,-7.164041884877,-15.0684734544472
-162,-7.2431756457675,-15.842860210199
-160,-7.26276536741896,-16.6074840876534
-158,-7.22833115571108,-17.3473377035685
-156,-7.15022177022981,-18.0486114995591
-154,-7.04218622184106,-18.7024997008051
-152,-6.91966932845149,-19.3090427222557
-150,-6.79830138237599,-19.8793792254792
-148,-6.69285067212134,-20.4351201930297
-146,-6.61668566421145,-21.0045985168049
-144,-6.58165248697517,-21.6163020557341
-142,-6.59822683611691,-22.2886386057434
-140,-6.67581320956962,-23.0119639839119
-138,-6.82309941834622,-23.7155763816092
-136,-7.04840522973688,-24.2224401867782
-134,-7.35997783309981,-24.2534663094613
-132,-7.76617432990475,-23.6011717422367
-130,-8.27541620316988,-22.3487392346925
-128,-8.89566402069131,-20.7820696517981
-126,-9.63285586114091,-19.149945507332
-124,-10.4871090107497,-17.5856815924563
-122,-11.4442682223023,-16.1419084223977
-120,-12.4588368394264,-14.8319155700223
-118,-13.4259819752755,-13.6528492741066
-116,-14.1587699183561,-12.5962648429448
-114,-14.4325564302408,-11.6525157925229
-112,-14.1393444374688,-10.8124490390963
-110,-13.3923901062677,-10.0679717055906
-108,-12.4180372447755,-9.41216101922422
-106,-11.4029064073307,-8.83920090140696
-104,-10.4517816176208,-8.3442637393811
-102,-9.6110065897346,-7.92338560167898
-100,-8.89638574582886,-7.57335330396298
-98,-8.31013127828637,-7.29160919150797
-96,-7.84930452407744,-7.07617443947398
-94,-7.5096987324231,-6.92558982924226
-92,-7.28755631303964,-6.83887248386551
-90,-7.18031149015536,-6.81548713093115
-88,-7.18691427208822,-6.85533076392241
-86,-7.30798787377728,-6.95872995813014
-84,-7.54592584938041,-7.12645052121014
-82,-7.90495305409065,-7.35971961699424
-80,-8.3910993430987,-7.66026099983563
-78,-9.01190943656071,-8.03034452996399
-76,-9.77543427901429,-8.47285166134143
-74,-10.687390578421,-8.99135895596402
-72,-11.7438491294121,-9.59024150711017
-70,-12.9137313498711,-10.2747965494164
-68,-14.1021425679477,-11.0513823854245
-66,-15.0980305617206,-11.9275541117958
-64,-15.5834493992522,-12.9121437272992
-62,-15.3452614247107,-14.015149749637
-60,-14.5072498305427,-15.2471016048882
-58,-13.3871221215233,-16.6170803340456
-56,-12.2343191822357,-18.1274299527799
-54,-11.1715141476936,-19.7607009525451
-52,-10.2421853188566,-21.4505333188093
-50,-9.45385991810205,-23.0312697963497
-48,-8.8002270131082,-24.2084457199015
-46,-8.27056827741793,-24.6925615631284
-44,-7.85340361072885,-24.4799155321978
-42,-7.53771054048352,-23.8514883447732
-40,-7.31315384809731,-23.0910678846278
-38,-7.1699142909155,-22.3512895314177
-36,-7.09835307943933,-21.68270142009
-34,-7.08860743453285,-21.0838782970044
-32,-7.13016277777192,-20.5310840401803
-30,-7.21144204112621,-19.9931191699933
-28,-7.31947435075076,-19.4397004544457
-26,-7.43974414162137,-18.8471993259984
-24,-7.55636231632848,-18.2023557390734
-22,-7.65271251005618,-17.5033601706342
-20,-7.71266171390317,-16.7581266474476
-18,-7.72224973362848,-15.980694165814
-16,-7.6715153681744,-15.1872996599092
-14,-7.55591222560996,-14.3933354403858
-12,-7.37679328089932,-13.6116195123945
-10,-7.14076169861362,-12.8517918646504
-8,-6.85812993671372,-12.1204202218846
-6,-6.54102294126107,-11.4214389510407
-4,-6.20165895349343,-10.7566774485609
-2,-5.85112301677382,-10.1263552877005
0,-5.49869498138224,-9.52949992196477
2,-5.15162951409415,-8.96428360250471
4,-4.81523076738033,-8.42829276402189
6,-4.49308046948169,-7.91874667544973
8,-4.18732067934028,-7.43267968087665
10,-3.89893387638676,-6.96709671876532
12,-3.62799315110735,-6.51910697672229
14,-3.37387351190732,-6.08603653969363
16,-3.13542477208404,-5.6655182746392
18,-2.91111051674205,-5.25555621262235
20,-2.69911887980211,-4.85456229598988
22,-2.49745096275869,-4.46136520848583
24,-2.30399261059261,-4.07519350610891
26,-2.11657526830134,-3.69563771398619
28,-1.93303170959549,-3.32259782583336
30,-1.75125223160549,-2.95622335515967
32,-1.56924601683068,-2.59685267436029
34,-1.38521042909337,-2.24495705494329
36,-1.1976079629263,-1.90109297595722
38,-1.00524675825917,-1.56586432008875
40,-0.807356825455971,-1.23989437561977
42,-0.603651486672653,-0.923806323265852
44,-0.394363052881136,-0.618210186628104
46,-0.180243956692581,-0.323694028154964
48,0.0374708173454553,-0.0408173724101691
50,0.257138197609354,0.229894702927881
52,0.476810807186566,0.487957788451855
54,0.694358351154443,0.732935073773844
56,0.907593249514964,0.964444883375417
58,1.11438803253309,1.18216834497913
60,1.3127747816398,1.38585650160209
62,1.5010205940219,1.57533610784349
64,1.6776767535848,1.75051340213207
66,1.84160236750148,1.91137528649985
68,1.9919653863799,2.0579875386618
70,2.1282251629083,2.19048989549468
72,2.25010118239914,2.30908805631765
74,2.35753253967287,2.41404284009645
76,2.45063234380388,2.50565688180857
78,2.52964065858699,2.58425936556497
80,2.59487893205853,2.6501893672892
82,2.64670819286204,2.70377842387417
84,2.68549263200552,2.74533296780187
86,2.71156957458761,2.775117276444
88,2.7252263054548,2.79333759299513
90,2.72668377326344,2.80012808741467
92,2.71608688217871,2.79553934184012
94,2.6935009015799,2.77953006005456
96,2.65891347732442,2.75196270238083
98,2.61224179009159,2.71260371820289
100,2.55334453635798,2.66112896834422
102,2.48203855264751,2.59713478085226
104,2.39812000632003,2.52015485461887
106,2.30139008294859,2.42968291343561
108,2.19168497013208,2.32520062711558
110,2.06890964758277,2.2062098748955
112,1.93307454283882,2.07226795595498
114,1.78433352423398,1.92302388428409
116,1.62302102595723,1.75825347598285
118,1.44968540855705,1.57789058715651
120,1.2651150549444,1.38205163917436
122,1.07035331946987,1.17105053691683
124,0.866698444157679,0.945401319590727
126,0.655685097921963,0.705806463199649
128,0.43904541754495,0.453129744740151
130,0.218649377412433,0.188353998074737
132,-0.00357313360975448,-0.0874741330561541
134,-0.225723340799874,-0.373308407828306
136,-0.446030029003711,-0.668170374591358
138,-0.6629422021649,-0.971212979974734
140,-0.875208811941582,-1.28177329501046
142,-1.08193827368934,-1.59940835090203
144,-1.2826338572339,-1.92391039672411
146,-1.47720508869029,-2.25530106468443
148,-1.66595891684187,-2.5938073179299
150,-1.8495765813615,-2.93982492495523
152,-2.02908235057246,-3.29387693390995
154,-2.20580871310814,-3.65657488052192
156,-2.38135991712332,-4.02858928668036
158,-2.55757292016294,-4.41063374063244
160,-2.73647269834629,-4.80346403401031
162,-2.92021792415777,-5.20789104826243
164,-3.11103321807937,-5.62480382803896
166,-3.31112506482566,-6.05519786551155
168,-3.52257943407236,-6.50020313142972
170,-3.74723961480241,-6.96110667407396
172,-3.98656251727113,-7.43936531654915
174,-4.24145090732016,-7.93660464754867
176,-4.51205841607585,-8.45460063914005
178,-4.79756499930899,-8.99523945025088
180,-5.09592476980378,-9.56044907902867
