"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
1.45,0.842397089516238,16.205873868237
1.452,0.872400747277128,16.389723038856
1.454,0.904027508077303,16.5792723004251
1.456,0.93739558901432,16.7748169860785
1.458,0.972634132317571,16.9766730618346
1.46,1.00988443846332,17.1851789447108
1.462,1.04930136465427,17.4006975141077
1.464,1.09105491447467,17.6236183404408
1.466,1.13533204914729,17.8543601583665
1.468,1.18233875636642,18.0933736158536
1.47,1.23230241937234,18.3411443348515
1.472,1.28547453703317,18.5981963245316
1.474,1.34213385553788,18.8650957941193
1.476,1.40258998430169,19.1424554193464
1.478,1.46718758336688,19.430939124676
1.48,1.53631122762521,19.7312674528796
1.482,1.61039107544977,20.0442236044553
1.484,1.68990949691083,20.3706602420042
1.486,1.77540885108374,20.7115071692556
1.488,1.86750064488502,21.0677800111805
1.49,1.96687635979854,21.4405900407953
1.492,2.07432030092744,21.8311553199867
1.494,2.1907249091719,22.2408133460544
1.496,2.31710908747756,22.6710354225092
1.498,2.45464023332215,23.1234430014538
1.5,2.60466085168026,23.5998262744453
1.502,2.76872085877259,24.1021653168373
1.504,2.94861699475367,24.6326541132461
1.506,3.14644116730775,25.1937278020811
1.508,3.36464008098624,25.788093463485
1.51,3.60608921445233,26.4187647183649
1.512,3.87418515226543,27.0891002749324
1.514,4.17296154611872,27.8028463015212
1.516,4.50723569267566,28.5641820355031
1.518,4.8827950377153,29.3777672182458
1.52,5.30663607869549,30.2487885448739
1.522,5.78727245359705,31.1829999530961
1.524,6.33513489315204,32.1867476104018
1.526,6.96309371895392,33.2669638242721
1.528,7.68714534248664,34.4311029904471
1.53,8.52731841553865,35.686974045989
1.532,9.5088732257425,37.0423924906579
1.534,10.6638887146721,38.5045220058794
1.536,12.033350745178,40.0786860424848
1.538,13.6698598171293,41.7662786438772
1.54,15.6410322462617,43.5611519410586
1.542,18.0334938390415,45.4434491785284
1.544,20.9568722729752,47.36922749519
1.546,24.5459823895785,49.2533849081781
1.548,28.9566869217731,50.9427126587632
1.55,34.3454806212778,52.176758673593
1.552,40.8138935304471,52.5408073017481
1.554,48.2904948870499,51.4367623087758
1.556,56.3374123825771,48.1437546226017
1.558,63.9564122049878,42.0870593324236
1.56,69.6510417913638,33.3515589555493
1.562,72.0385951038548,23.106990022875
1.564,70.763133727601,13.3103025141205
1.566,66.7992232430884,5.67001426687546
1.568,61.7847801664108,0.843337249307835
1.57,57.1542178960905,-1.50502128955339
1.572,53.7693136847588,-2.19456295659643
1.574,51.9784053614376,-2.13670575200675
1.576,51.7676833823713,-2.18967053274775
1.578,52.8215620386457,-3.13065597879855
1.58,54.4888612335792,-5.58350318781454
1.582,55.7856284561412,-9.80539343380814
1.584,55.6371679658055,-15.4164389397441
1.586,53.3861037290509,-21.3940319100977
1.588,49.1740722716572,-26.5468407372284
1.59,43.7789750707698,-30.1200914539604
1.592,38.0948231219226,-31.998096479342
1.594,32.7539488824128,-32.4860921597502
1.596,28.0588844568545,-32.0113057097678
1.598,24.0796349028177,-30.9485621871815
1.6,20.7668494014365,-29.5690591294304
1.602,18.0269952507828,-28.0494451918556
1.604,15.7608073792268,-26.4972070447888
1.606,13.8791392423823,-24.9741460622523
1.608,12.3075004397522,-23.5135066289919
1.61,10.9857441156051,-22.1312879868181
1.612,9.86606489824564,-20.8333554074302
1.614,8.91068577577454,-19.6197936683032
1.616,8.08975812780313,-18.4875299815081
1.618,7.37962340791207,-17.4318949057117
1.62,6.7614348993954,-16.4475387109339
1.622,6.22008766349083,-15.5289588535448
1.624,5.74339560544715,-14.6707938084497
1.626,5.32146046775849,-13.867977267229
1.628,4.94618756143677,-13.115809614389
1.63,4.61091291425665,-12.4099811467354
1.632,4.31011486874473,-11.7465678942405
1.634,4.0391897779169,-11.1220126286272
1.636,3.79427651308231,-10.5330986019515
1.638,3.57211831165873,-9.97692047548662
1.64,3.36995333959089,-9.45085501534529
1.642,3.18542746109244,-8.95253298237272
1.644,3.01652428461439,-8.47981294745293
1.646,2.86150872937027,-8.03075734627381
1.648,2.71888123638073,-7.6036108429469
1.65,2.58734040914713,-7.19678093348509
1.652,2.46575236843683,-6.80882064684166
1.654,2.35312548482348,-6.43841316735576
1.656,2.24858944207832,-6.08435819203997
1.658,2.15137780669194,-5.74555983923862
1.66,2.06081345029859,-5.42101593562975
1.662,1.97629630486118,-5.10980852257104
1.664,1.89729303431572,-4.81109543813271
1.666,1.8233282878215,-4.52410284649733
1.668,1.75397726397634,-4.24811860099216
1.67,1.68885936623553,-3.98248634048547
1.672,1.6276327702845,-3.72660023106628
1.674,1.56998975652289,-3.4799002758126
1.676,1.51565268686264,-3.24186812509062
1.678,1.46437052606631,-3.01202332830216
1.68,1.41591582489464,-2.78991997541917
1.682,1.37008209620758,-2.5751436831255
1.684,1.32668152650125,-2.36730888603086
1.686,1.2855429746685,-2.16605639833769
1.688,1.24651021743202,-1.97105121561586
1.69,1.20944040723353,-1.78198053005896
1.692,1.17420271361524,-1.59855193583032
1.694,1.14067712350263,-1.42049180392285
1.696,1.10875337944776,-1.24754380840877
1.698,1.07833003795165,-1.0794675880948
1.7,1.04931363255302,-0.916037529463025
1.702,1.02161792853666,-0.757041658409411
1.704,0.99516325794519,-0.602280629717516
1.706,0.969875925128847,-0.45156680445468
1.708,0.945687674386355,-0.30472340657362
1.71,0.922535212373522,-0.16158375096432
1.712,0.900359778915209,-0.0219905360481393
1.714,0.879106760678484,0.114204805249903
1.716,0.858725342869717,0.247142701655885
1.718,0.839168194725554,0.376955991755396
1.72,0.820391185090733,0.503770428667452
1.722,0.802353124828108,0.62770514514223
1.724,0.785015533197782,0.748873082637658
1.726,0.768342425682351,0.867381387571802
1.728,0.752300121030765,0.983331777630124
1.73,0.736857065550456,1.09682088072354
1.732,0.721983672903077,1.20794054893979
1.734,0.707652177854863,1.31677814960658
1.736,0.693836502605557,1.42341683538211
1.738,0.68051213447064,1.52793579510925
1.74,0.667656013824941,1.63041048700765
1.742,0.655246431332202,1.73091285563302
1.744,0.643262933589132,1.82951153390307
1.746,0.631686236402939,1.9262720313723
1.748,0.620498145002866,2.02125690983227
1.75,0.609681480557143,2.11452594721927
