Phi[deg],Theta[deg],mag(rETheta/rEphi),ang_rad(rETheta/rEPhi)[rad]
-180,-180,0.576569,0.933823
-178,-180,0.549852,0.968296
-176,-180,0.525065,1.00687
-174,-180,0.502276,1.04975
-172,-180,0.481578,1.09705
-170,-180,0.463077,1.14883
-168,-180,0.446897,1.20505
-166,-180,0.433166,1.26548
-164,-180,0.422017,1.32976
-162,-180,0.413572,1.39729
-160,-180,0.407934,1.4673
-158,-180,0.405178,1.53885
-156,-180,0.405344,1.61088
-154,-180,0.408428,1.68231
-152,-180,0.414388,1.75208
-150,-180,0.423145,1.81928
-148,-180,0.434592,1.88315
-146,-180,0.448607,1.94312
-144,-180,0.465056,1.99884
-142,-180,0.483811,2.05012
-140,-180,0.504751,2.09692
-138,-180,0.52777,2.13929
-136,-180,0.552779,2.1774
-134,-180,0.57971,2.21142
-132,-180,0.608516,2.24157
-130,-180,0.639169,2.26809
-128,-180,0.671662,2.29117
-126,-180,0.706006,2.31103
-124,-180,0.742231,2.32784
-122,-180,0.780384,2.34178
-120,-180,0.82053,2.35297
-118,-180,0.862748,2.36153
-116,-180,0.907132,2.36755
-114,-180,0.95379,2.37108
-112,-180,1.00284,2.37216
-110,-180,1.05441,2.3708
-108,-180,1.10865,2.36699
-106,-180,1.16568,2.36069
-104,-180,1.22566,2.35184
-102,-180,1.28871,2.34034
-100,-180,1.35495,2.32609
-98,-180,1.42445,2.30894
-96,-180,1.49724,2.28872
-94,-180,1.57329,2.26526
-92,-180,1.65244,2.23835
-90,-180,1.7344,2.20777
-88,-180,1.81867,2.1733
-86,-180,1.90453,2.13472
-84,-180,1.99094,2.09185
-82,-180,2.07651,2.04455
-80,-180,2.15947,1.99276
-78,-180,2.23765,1.93655
-76,-180,2.30858,1.87611
-74,-180,2.36957,1.81183
-72,-180,2.41796,1.7443
-70,-180,2.45138,1.67429
-68,-180,2.46805,1.60274
-66,-180,2.46704,1.53071
-64,-180,2.44841,1.45929
-62,-180,2.4132,1.38951
-60,-180,2.36326,1.32231
-58,-180,2.30101,1.25845
-56,-180,2.22912,1.19847
-54,-180,2.15028,1.14275
-52,-180,2.06692,1.09147
-50,-180,1.98117,1.04468
-48,-180,1.89477,1.0023
-46,-180,1.80904,0.964194
-44,-180,1.725,0.930173
-42,-180,1.64334,0.900018
-40,-180,1.56453,0.873507
-38,-180,1.48884,0.850424
-36,-180,1.41642,0.830566
-34,-180,1.34729,0.813749
-32,-180,1.28142,0.799812
-30,-180,1.21872,0.78862
-28,-180,1.15909,0.780059
-26,-180,1.10238,0.774045
-24,-180,1.04845,0.770515
-22,-180,0.997168,0.769434
-20,-180,0.948394,0.770791
-18,-180,0.902,0.774599
-16,-180,0.857866,0.780899
-14,-180,0.815887,0.789752
-12,-180,0.77597,0.801249
-10,-180,0.738037,0.815504
-8,-180,0.702027,0.832656
-6,-180,0.667894,0.85287
-4,-180,0.63561,0.87633
-2,-180,0.605165,0.903242
0,-180,0.576569,0.933823
2,-180,0.549852,0.968296
4,-180,0.525065,1.00687
6,-180,0.502276,1.04975
8,-180,0.481578,1.09705
10,-180,0.463077,1.14883
12,-180,0.446897,1.20505
14,-180,0.433166,1.26548
16,-180,0.422017,1.32976
18,-180,0.413572,1.39729
20,-180,0.407934,1.4673
22,-180,0.405178,1.53885
24,-180,0.405344,1.61088
26,-180,0.408428,1.68231
28,-180,0.414388,1.75208
30,-180,0.423145,1.81928
32,-180,0.434592,1.88315
34,-180,0.448607,1.94312
36,-180,0.465056,1.99884
38,-180,0.483811,2.05012
40,-180,0.504751,2.09692
42,-180,0.52777,2.13929
44,-180,0.552779,2.1774
46,-180,0.57971,2.21142
48,-180,0.608516,2.24157
50,-180,0.639169,2.26809
52,-180,0.671662,2.29117
54,-180,0.706006,2.31103
56,-180,0.742231,2.32784
58,-180,0.780384,2.34178
60,-180,0.82053,2.35297
62,-180,0.862748,2.36153
64,-180,0.907132,2.36755
66,-180,0.95379,2.37108
68,-180,1.00284,2.37216
70,-180,1.05441,2.3708
72,-180,1.10865,2.36699
74,-180,1.16568,2.36069
76,-180,1.22566,2.35184
78,-180,1.28871,2.34034
80,-180,1.35495,2.32609
82,-180,1.42445,2.30894
84,-180,1.49724,2.28872
86,-180,1.57329,2.26526
88,-180,1.65244,2.23835
90,-180,1.7344,2.20777
92,-180,1.81867,2.1733
