"Freq [GHz]","dB(AxialRatioValue) [] - Phi='90.0000000000002deg' Theta='90.0000000000002deg'"
1.57,22.9936130019178
1.572,22.2224317649459
1.574,21.4216354116443
1.576,20.5893766109852
1.578,19.7237117805379
1.58,18.822615177827
1.582,17.8840033044548
1.584,16.9057741648393
1.586,15.8858624059678
1.588,14.822320229453
1.59,13.7134264697263
1.592,12.5578311263076
1.594,11.3547394205111
1.596,10.1041340927319
1.598,8.8070297306062
1.6,7.46573921230491
1.602,6.08412234822102
1.604,4.66778168771726
1.606,3.22422053110398
1.608,1.76347329758133
1.61,0.320939907457768
1.612,1.19561702453439
1.614,2.6494226209414
1.616,4.08482099172417
1.618,5.49030502476725
1.62,6.858319244665
1.622,8.18337683191882
1.624,9.46178173218549
1.626,10.6914038062743
1.628,11.8714168367498
1.63,13.0020245913378
