"Freq [GHz]","dB(S(1,1)) []"
1.45,-0.165811946974156
1.452,-0.170147229887907
1.454,-0.174652082097923
1.456,-0.179335269067559
1.458,-0.184206125511658
1.46,-0.189274599908398
1.462,-0.194551303098192
1.464,-0.200047561401684
1.466,-0.205775474740425
1.468,-0.211747980302663
1.47,-0.217978922363159
1.472,-0.224483128941969
1.474,-0.231276496073334
1.476,-0.238376080554557
1.478,-0.245800202157428
1.48,-0.25356855641383
1.482,-0.26170233923528
1.484,-0.270224384796357
1.486,-0.279159318307723
1.488,-0.288533725530853
1.49,-0.298376341147183
1.492,-0.308718258397565
1.494,-0.319593162758193
1.496,-0.331037592827849
1.498,-0.343091232076378
1.5,-0.35579723566003
1.502,-0.369202597159003
1.504,-0.383358560855144
1.506,-0.398321086064519
1.508,-0.414151371096331
1.51,-0.43091644565895
1.512,-0.448689842013518
1.514,-0.467552356933633
1.516,-0.48759291862348
1.518,-0.508909575248076
1.52,-0.53161062472508
1.522,-0.555815909027586
1.524,-0.58165830058474
1.526,-0.609285413610791
1.528,-0.638861579552283
1.53,-0.670570133580146
1.532,-0.704616068499408
1.534,-0.741229124021887
1.536,-0.780667393575429
1.538,-0.823221548382317
1.54,-0.869219800290464
1.542,-0.919033751890011
1.544,-0.973085316220688
1.546,-1.03185493071641
1.548,-1.09589134334165
1.55,-1.16582331628076
1.552,-1.242373678155
1.554,-1.32637626497561
1.556,-1.41879643006402
1.558,-1.52075598351734
1.56,-1.6335636552211
1.562,-1.75875247904375
1.564,-1.89812589283644
1.566,-2.05381487064105
1.568,-2.22834909303019
1.57,-2.42474607781292
1.572,-2.64662341822402
1.574,-2.89834092341251
1.576,-3.1851816878603
1.578,-3.51358416322211
1.58,-3.89144150475537
1.582,-4.32849031842922
1.584,-4.83681922127936
1.586,-5.43153959578355
1.588,-6.13167866826296
1.59,-6.96138225140412
1.592,-7.95155778805884
1.594,-9.14215951603304
1.596,-10.5854354440831
1.598,-12.3506366050201
1.6,-14.530858004872
1.602,-17.2521015777947
1.604,-20.6782432655992
1.606,-24.958208919359
1.608,-29.7531950422863
1.61,-32.5596548709732
1.612,-31.2079293269359
1.614,-27.5928412998879
1.616,-23.4792546137952
1.618,-19.8063596221944
1.62,-16.7716037302428
1.622,-14.3049266466664
1.624,-12.2959015004071
1.626,-10.6481161330131
1.628,-9.28578466680704
1.63,-8.15061620872885
1.632,-7.19773458272643
1.634,-6.3923330347521
1.636,-5.70717360529492
1.638,-5.12075425670759
1.64,-4.61596233500127
1.642,-4.17907616717632
1.644,-3.79901675110771
1.646,-3.46678099012532
1.648,-3.17500831090019
1.65,-2.91764642757679
1.652,-2.6896915848345
1.654,-2.4869852753722
1.656,-2.30605413534682
1.658,-2.14398309626168
1.66,-1.99831432293716
1.662,-1.86696626791793
1.664,-1.74816850880924
1.666,-1.64040903507118
1.668,-1.54239140498644
1.67,-1.45299976615143
1.672,-1.37127017029326
1.674,-1.29636694927897
1.676,-1.22756317871444
1.678,-1.16422445694941
1.68,-1.10579538436258
1.682,-1.05178825082252
1.684,-1.00177353600387
1.686,-0.95537190370335
1.688,-0.912247431962062
1.69,-0.872101869118926
1.692,-0.834669744557324
1.694,-0.799714193922193
1.696,-0.76702338357348
1.698,-0.736407439249848
1.7,-0.707695800315933
1.702,-0.680734934321779
1.704,-0.655386357516558
1.706,-0.631524915906086
1.708,-0.609037288803237
1.71,-0.587820682892888
1.712,-0.567781689859175
1.714,-0.548835284795323
1.716,-0.530903946090422
1.718,-0.513916880388431
1.72,-0.49780933864349
1.722,-0.482522011335092
1.724,-0.468000492623585
1.726,-0.45419480467519
1.728,-0.441058974612315
1.73,-0.428550657584386
1.732,-0.416630800339313
1.734,-0.405263340428901
1.736,-0.394414936825637
1.738,-0.384054728279197
1.74,-0.374154116214173
1.742,-0.364686569376826
1.744,-0.355627447789239
1.746,-0.34695384387144
1.748,-0.338644438853906
1.75,-0.330679372829387
