"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
1.45,0.498530649204332,13.7799930425917
1.452,0.511873183514426,13.8960146868772
1.454,0.5257552230438,14.0145816887154
1.456,0.540205810888616,14.1357929313831
1.458,0.555255971241815,14.2597524720455
1.46,0.570938873336791,14.3865698840589
1.462,0.587290011442746,14.5163606267111
1.464,0.604347402734612,14.6492464449889
1.466,0.622151805095662,14.7853558022401
1.468,0.640746957182195,14.9248243489143
1.47,0.660179843390264,15.0677954309201
1.472,0.680500986722158,15.2144206415342
1.474,0.701764772962555,15.3648604212505
1.476,0.724029810050604,15.5192847104612
1.478,0.747359327085447,15.677873660437
1.48,0.771821618042285,15.8408184087241
1.482,0.797490536020129,16.0083219258079
1.484,0.824446044708439,16.1805999407338
1.486,0.852774834772931,16.3578819543213
1.488,0.88257101404609,16.5404123496909
1.49,0.913936881799771,16.7284516110573
1.492,0.94698379901549,16.9222776631497
1.494,0.981833168501019,17.1221873452309
1.496,1.01861754098987,17.3284980355307
1.498,1.05748186607518,17.541549444026
1.5,1.09858491006066,17.7617055939267
1.502,1.14210086666955,17.9893570150188
1.504,1.18822119117201,18.2249231752325
1.506,1.23715669404263,18.4688551805044
1.508,1.28913993695068,18.7216387772739
1.51,1.34442798197958,18.9837976968881
1.512,1.40330555479796,19.2558973868755
1.514,1.46608869447641,19.5385491806282
1.516,1.53312897728688,19.8324149646203
1.518,1.60481841980201,20.138212411045
1.52,1.68159518878036,20.4567208538415
1.522,1.7639502727719,20.7887878976715
1.524,1.8524353045119,21.1353368626747
1.526,1.94767176581145,21.4973751829439
1.528,2.05036186016608,21.8760038937341
1.53,2.16130140578835,22.2724283614917
1.532,2.28139518729495,22.6879704317464
1.534,2.41167531322167,23.124082192351
1.536,2.55332326604248,23.5823615726374
1.538,2.70769651096825,24.0645700211768
1.54,2.87636076229402,24.5726525231402
1.542,3.06112930871774,25.10876022795
1.544,3.26411119527198,25.675275950958
1.546,3.48777058116422,26.2748427761579
1.548,3.73500028348528,26.9103958990455
1.55,4.00921343617285,27.5851976750083
1.552,4.31445842390857,28.3028755228783
1.554,4.65556390457425,29.0674617843424
1.556,5.03832296597299,29.8834337093642
1.558,5.46972848269565,30.7557501829365
1.56,5.95827582828226,31.6898792304351
1.562,6.51435462151802,32.691806077999
1.564,7.150758592943,33.7680045038393
1.566,7.88335243791224,34.9253425623444
1.568,8.73194704990854,36.1708744176191
1.57,9.72144963270486,37.511437815552
1.572,10.8833710954835,38.9529229987195
1.574,12.2577839496532,40.4989893242058
1.576,13.8958139295821,42.1488575355441
1.578,15.862679558025,43.8935640610122
1.58,18.2410782504033,45.7096844555554
1.582,21.1341643173182,47.548983906484
1.584,24.6660843896037,49.3218034382839
1.586,28.9753285158059,50.8716953699802
1.588,34.191089373846,51.9404526686826
1.59,40.3754105270878,52.1303592660254
1.592,47.4097999475672,50.8919190238297
1.594,54.8261389160966,47.6049010788739
1.596,61.6691123275814,41.8460431968679
1.598,66.6198658075028,33.8313421582272
1.6,68.5749009885905,24.7024076959368
1.602,67.37719053199,16.1719741660565
1.604,63.96523592199,9.64241693857979
1.606,59.7704678350347,5.60538063634459
1.608,56.0231462873223,3.7362771922779
1.61,53.4740717291071,3.31406191680359
1.612,52.4497546617348,3.53323924540155
1.614,52.9752518726109,3.6144611262997
1.616,54.8178135070882,2.81555558423193
1.618,57.4369691116901,0.474254532345338
1.62,59.930968113673,-3.81686973544931
1.622,61.1624343812731,-9.9168491238708
1.624,60.1916385334843,-16.9670243548068
1.626,56.7934451359715,-23.6707390422217
1.628,51.5600758214941,-28.9301123647092
1.63,45.4750349341019,-32.2891387313587
1.632,39.402398791206,-33.8849489513596
1.634,33.8608307381877,-34.1398861800324
1.636,29.0571770763212,-33.5032834724877
1.638,25.0066347343284,-32.3349943854399
1.64,21.6350109944678,-30.8858120489491
1.642,18.8397692317885,-29.3168439018106
1.644,16.5194777182848,-27.7258806397274
1.646,14.5852161250122,-26.1693100317067
1.648,12.9632544390534,-24.6776018306925
1.65,11.594092656857,-23.2654616617716
1.652,10.4303070807557,-21.9382373107554
1.654,9.43425964916022,-20.695875102403
1.656,8.57606434477901,-19.5353307415654
1.658,7.83191297666613,-18.4520224372443
1.66,7.18274625193098,-17.4406958623229
1.662,6.61321785638222,-16.4959296339629
1.664,6.11089354958578,-15.612421878183
1.666,5.66563350487402,-14.7851441019008
1.668,5.26911551901055,-14.0094152681147
1.67,4.9144658352833,-13.2809285417375
1.672,4.5959720411446,-12.5957506281847
1.674,4.30885864096812,-11.9503058996445
1.676,4.04911063672771,-11.3413527303142
1.678,3.81333403677141,-10.7659565063116
1.68,3.59864490984107,-10.2214619446976
1.682,3.40258062234186,-9.70546622314519
1.684,3.22302841079001,-9.21579372430401
1.686,3.05816757758478,-8.75047277361198
1.688,2.90642245366455,-8.30771449432367
1.69,2.76642391818529,-7.8858937549807
1.692,2.63697775631581,-7.48353210224326
1.694,2.51703851085724,-7.09928253057214
1.696,2.40568777069388,-6.73191592366896
1.698,2.30211606056676,-6.38030900075652
1.7,2.205607668295,-6.04343360734455
1.702,2.11552787927022,-5.72034720113269
1.704,2.03131219272796,-5.41018439670239
1.706,1.95245717667617,-5.11214944618116
1.708,1.87851268350067,-4.82550954626297
1.71,1.80907520002912,-4.54958887437424
1.712,1.74378214715728,-4.28376326815424
1.714,1.68230697727956,-4.02745547268887
1.716,1.62435494445974,-3.7801308891086
1.718,1.56965944387147,-3.54129376628312
1.72,1.51797883457909,-3.31048378450335
1.722,1.46909367403648,-3.08727298632238
1.724,1.42280430439396,-2.87126301522752
1.726,1.37892874033179,-2.66208262762033
1.728,1.33730081607833,-2.45938544777942
1.73,1.29776855584483,-2.26284793914103
1.732,1.26019273736857,-2.07216756842966
1.734,1.22444562280563,-1.88706114195829
1.736,1.19040983501902,-1.70726329585473
1.738,1.1579773604974,-1.53252512409782
1.74,1.12704866282335,-1.36261293010947
1.742,1.09753189287359,-1.19730708927767
1.744,1.06934218384888,-1.03640101121425
1.746,1.0424010208551,-0.879700191803193
1.748,1.01663567614001,-0.72702134619771
1.75,0.99197870226739,-0.578191614890831
