"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
1.5,4.29628352206822,23.2754231303912
1.502,4.58583113266243,23.7272096154318
1.504,4.90439174082584,24.2013578220669
1.506,5.25577145133,24.6991324164955
1.508,5.64438306910183,25.2217820515746
1.51,6.07535632878731,25.7704944572804
1.512,6.55466916505045,26.3463314630251
1.514,7.08930352505324,26.9501360836922
1.516,7.68742925973211,27.5824007679891
1.518,8.35861916218672,28.2430817276178
1.52,9.11409679586363,28.9313385470582
1.522,9.96701559843091,29.6451705445155
1.524,10.932761564453,30.3809111128345
1.526,12.0292604772607,31.132528134975
1.528,13.2772507782829,31.8906626528284
1.53,14.7004494723792,32.6413206759538
1.532,16.3254832560352,33.3641186739363
1.534,18.1813699963643,34.0299822221189
1.536,20.2982053898244,34.5982311259572
1.538,22.70452979583,35.0130943177498
1.54,25.4226363023418,35.1999541778207
1.542,28.4609065752129,35.0621248430474
1.544,31.8023219066696,34.4798280551526
1.546,35.3889892825411,33.3142394174789
1.548,39.1044414445223,31.4206567066308
1.55,42.7590812132064,28.6748255408703
1.552,46.088779362868,25.0131536278143
1.554,48.7790217623642,20.4791332008825
1.556,50.5212705641806,15.2567187722093
1.558,51.0909865961016,9.66575430417145
1.56,50.4161323672359,4.1065558105754
1.562,48.6003792369644,-1.03041109961222
1.564,45.8877924438609,-5.44987694575767
1.566,42.5895039292459,-8.99603580008018
1.568,39.0092171861114,-11.647221582155
1.57,35.3942845365989,-13.4783534063564
1.572,31.918043391099,-14.6155726567442
1.574,28.684644516539,-15.1994639278108
1.576,25.7443346790757,-15.3621273836008
1.578,23.1104095499998,-15.2163315782888
1.58,20.7734930172313,-14.8526639376119
1.582,18.7119334540134,-14.3409645743627
1.584,16.8986624507288,-13.7335259207241
1.586,15.3053670699666,-13.0686431498696
1.588,13.9048224753713,-12.3738503601426
1.59,12.6720516159882,-11.6686074027417
1.592,11.5847798131563,-10.9664162473241
1.594,10.6234902002018,-10.2764353285016
1.596,9.77127021934206,-9.60468608679037
1.598,9.01356246777046,-8.95494283787688
1.6,8.33788446747706,-8.32938334338286
1.602,7.73355216260027,-7.72906159392327
1.604,7.19142431802759,-7.15424990380606
1.606,6.70367489120378,-6.60468557323927
1.608,6.26359489730418,-6.07974814232755
1.61,5.86542242258796,-5.57858628340844
1.612,5.5041981221688,-5.1002082016669
1.614,5.17564308240353,-4.6435456171298
1.616,4.87605593099661,-4.20749863520374
1.618,4.60222630625031,-3.79096680553416
1.62,4.35136211893192,-3.39287021461819
1.622,4.12102838430003,-3.0121634042927
1.624,3.90909573116434,-2.64784414492691
1.626,3.71369699256125,-2.29895853838012
1.628,3.53319054284086,-1.9646035234262
1.63,3.36612926863052,-1.64392756351383
1.632,3.21123424907389,-1.33613008326867
1.634,3.0673723779178,-1.04046006429114
1.636,2.93353729068724,-0.756214096879708
1.638,2.80883306841144,-0.482734100952472
1.64,2.69246027879457,-0.219404868424132
1.642,2.58370398954979,0.0343484653602534
1.644,2.48192344954145,0.279062946183978
1.646,2.38654318368256,0.515240270390827
1.648,2.29704528910114,0.743349165409214
1.65,2.21296275448052,0.963827660147466
1.652,2.13387365297557,1.17708523307529
1.654,2.05939608276243,1.38350483225066
1.656,1.98918374895065,1.58344476608515
1.658,1.92292209697991,1.77724046677328
1.66,1.86032492131155,1.96520613041745
1.662,1.8011313846804,2.14763623923665
1.664,1.74510339277953,2.32480697206235
1.666,1.69202327732488,2.49697750974875
1.668,1.64169174724897,2.66439124227298
1.67,1.59392607351603,2.82727688425522
1.672,1.54855847790876,2.98584950545089
1.674,1.50543470025848,3.140311482503
1.676,1.46441272209081,3.2908533779248
1.678,1.42536162764189,3.43765475193408
1.68,1.38816058574448,3.58088491240023
1.682,1.35269793826019,3.72070360780157
1.684,1.31887038259967,3.85726166773712
1.686,1.28658223747332,3.99070159519331
1.688,1.2557447823947,4.12115811444197
1.69,1.22627566264598,4.24875867813734
1.692,1.19809835244128,4.3736239368933
1.694,1.1711416699122,4.4958681743531
1.696,1.14533933830964,4.61559971051658
1.698,1.1206295884846,4.73292127585888
1.7,1.09695479829303,4.84793035856455
