"Theta [deg]","dB(GainTheta) [] - Freq='1.575GHz' Phi='90.0000000000002deg'","dB(GainPhi) [] - Freq='1.575GHz' Phi='90.0000000000002deg'"
-180,-27.9560637368236,-7.16812344092492
-178,-28.2392998296829,-7.79419021037112
-176,-28.5452440033078,-8.46996661490491
-174,-28.8721661532607,-9.2005376141262
-172,-29.2176498673385,-9.99030311710954
-170,-29.5773563215633,-10.842362980841
-168,-29.9437305215205,-11.7575332563286
-166,-30.3050442950734,-12.7327845424632
-164,-30.6453269857222,-13.758855513605
-162,-30.9457752125134,-14.8169117299675
-160,-31.1879173197355,-15.8746971503817
-158,-31.3579601488867,-16.8841220919602
-156,-31.4506795222569,-17.7845548900338
-154,-31.4708691707809,-18.5166474051213
-152,-31.4314363989828,-19.0450038292315
-150,-31.3490729395197,-19.3755461317775
-148,-31.2395185466063,-19.5516889466214
-146,-31.114122283111,-19.6311627672841
-144,-30.9783848794931,-19.6599393687832
-142,-30.8323433689235,-19.6543436372246
-140,-30.6723042759952,-19.5917821295648
-138,-30.4933329936941,-19.4101353967489
-136,-30.2918510869044,-19.023525749942
-134,-30.0676800629285,-18.3617023287277
-132,-29.8250276158829,-17.4150788473903
-130,-29.5722825294941,-16.2444396967424
-128,-29.3209108446821,-14.9461046973273
-126,-29.0839931947685,-13.6101087770769
-124,-28.8749110817563,-12.3005805676197
-122,-28.7064741670906,-11.0558067222857
-120,-28.5905496726096,-9.89547950097716
-118,-28.5381141760868,-8.82781011811719
-116,-28.5596099899831,-7.85452295427364
-114,-28.6655170066815,-6.97392626994751
-112,-28.867109109933,-6.18268581946569
-110,-29.177434071717,-5.47681677104514
-108,-29.612641243942,-4.85222748111124
-106,-30.193908998185,-4.30501205638302
-104,-30.9504561504286,-3.83160337178719
-102,-31.9246011693866,-3.42884872454098
-100,-33.1809074602651,-3.09404248588355
-98,-34.8239937842785,-2.8249347051644
-96,-37.0353652985303,-2.61972615940014
-94,-40.1428332006261,-2.47705572765213
-92,-44.491546416182,-2.39598347473872
-90,-46.4294673739411,-2.37597148966598
-88,-41.8717225147453,-2.41686380096052
-86,-37.7916764940314,-2.51886627643451
-84,-34.849416186484,-2.68252712587923
-82,-32.6341517086973,-2.90871833895276
-80,-30.9014615733613,-3.19861800061035
-78,-29.5163245304619,-3.55369280445345
-76,-28.3997432950961,-3.97567903497665
-74,-27.5028939900556,-4.46655848399978
-72,-26.7943880914731,-5.02852263353252
-70,-26.2535766595618,-5.66391298095477
-68,-25.8668094303028,-6.3751158790435
-66,-25.6252398772542,-7.16437378986909
-64,-25.5234899778819,-8.03344666097811
-62,-25.5588151097367,-8.98301023147068
