"Phi [deg]","dB(GainTheta) [] - Freq='1.575GHz' Theta='90.0000000000002deg'","dB(GainPhi) [] - Freq='1.575GHz' Theta='90.0000000000002deg'"
-180,-43.3694358732539,-1.89376946981707
-178,-43.7621224739288,-2.33172514661314
-176,-44.393208388709,-2.76589767858865
-174,-45.306981523471,-3.17681880193885
-172,-46.5710187111524,-3.54122807072723
-170,-48.2867877422946,-3.83466941128393
-168,-50.587746742493,-4.03589827931983
-166,-53.4764036590508,-4.13207089388521
-164,-55.6678988386345,-4.12258061950017
-162,-54.2783811770887,-4.01954095175172
-160,-51.2134394225447,-3.84465573062125
-158,-48.5873624776996,-3.62418808556469
-156,-46.5944073351971,-3.38428817316244
-154,-45.1075134027191,-3.14801964423029
-152,-44.0126000825148,-2.93420444161987
-150,-43.2288869731504,-2.75753559285157
-148,-42.6973899672886,-2.62932477357107
-146,-42.3707450114739,-2.55843918360978
-144,-42.2066137868951,-2.55219404057036
-142,-42.1642666325732,-2.61711157038721
-140,-42.2044139850638,-2.759532317176
-138,-42.2925048520067,-2.98609188068405
-136,-42.4047111195088,-3.30407305160546
-134,-42.5339850217659,-3.7216134016275
-132,-42.6927243102579,-4.24767645533244
-130,-42.9104153327934,-4.8915327747325
-128,-43.2280165870775,-5.66113042352419
-126,-43.692696654026,-6.55891280497087
-124,-44.3557945852499,-7.57194552989217
-122,-45.2753722561708,-8.65064911494547
-120,-46.5246234834059,-9.67157817301069
-118,-48.2101642545973,-10.4059135653625
-116,-50.5135487472773,-10.5858599236402
-114,-53.8024496833457,-10.1193100457013
-112,-58.9918403116365,-9.18959475628325
-110,-66.7732797273839,-8.0703853592799
-108,-60.9485357448715,-6.95320677235137
-106,-55.7526706287584,-5.93106332449458
-104,-52.7407625938658,-5.03842567876296
-102,-50.7809758240486,-4.28287875832639
-100,-49.4232309021882,-3.66151433469182
-98,-48.4467199323044,-3.16828994378439
-96,-47.7243125815278,-2.79712710913761
-94,-47.176596314962,-2.54315732146283
-92,-46.7541407372023,-2.40320301600604
-90,-46.4294673739414,-2.37597148966597
-88,-46.1919402879343,-2.46217498502319
-86,-46.0431929379247,-2.66467820062522
-84,-45.9927792252519,-2.98872823480485
-82,-46.0544991817173,-3.44230095744318
-80,-46.2437666508245,-4.03657542595521
-78,-46.5759774296306,-4.78648411277041
-76,-47.0654624458496,-5.71107427857774
-74,-47.7243279462142,-6.83272059260993
-72,-48.5601254388757,-8.17197189178612
-70,-49.570606333167,-9.72765654799344
-68,-50.73273476244,-11.4123787187957
-66,-51.9830001549656,-12.8954917794262
-64,-53.1935163824642,-13.5040332339538
-62,-54.1762680296274,-12.8347833859798
-60,-54.7725935519133,-11.381314054856
-58,-54.9898616031463,-9.78546524394851
-56,-55.0079114771283,-8.334793039161
-54,-55.0470451233196,-7.09810931587764
-52,-55.2756852865757,-6.07024131876579
-50,-55.8059609837433,-5.22821368104492
-48,-56.72031854208,-4.54817819828737
-46,-58.0889064646841,-4.00961531472532
-44,-59.9422415625832,-3.59578669183718
-42,-62.0666929827152,-3.29319922349766
-40,-63.3931401460642,-3.09088985334091
-38,-62.5688368118123,-2.97973744357249
-36,-60.5458656471542,-2.95182140864812
-34,-58.6449787847901,-2.99978958810315
-32,-57.2196159858607,-3.11618092555659
-30,-56.2792834962101,-3.29264678848042
-28,-55.7871950798055,-3.51902783950457
-26,-55.7260042468719,-3.78228652599881
-24,-56.1149863499575,-4.06539802148312
-22,-57.0286960406844,-4.34649903975719
-20,-58.6438611423035,-4.59888059870466
-18,-61.3823228065644,-4.792647785225
-16,-66.4646039950915,-4.89868770881787
-14,-73.9309267906867,-4.89456108124399
-12,-64.5486620119542,-4.77027420491163
-10,-58.8068316896832,-4.53099503469467
-8,-55.1515090389279,-4.19509055945662
-6,-52.5043684364813,-3.78864628255597
-4,-50.4676011557028,-3.33934305994654
-2,-48.8556762670766,-2.87200204586334
0,-47.5688573772083,-2.40645493187385
2,-46.5486526235482,-1.95720895178889
4,-45.7589051478714,-1.53406746970371
6,-45.1766428654703,-1.14306243178422
8,-44.7871932705773,-0.787348604312342
10,-44.5813509844298,-0.467924167733231
12,-44.5535860298035,-0.184158344214141
14,-44.7007594767338,0.0658437392421661
16,-45.0209949733753,0.284993769046547
18,-45.5123744830677,0.477045080718191
20,-46.1710017785901,0.646449020991309
22,-46.9876548456908,0.798208909629623
24,-47.9416490497868,0.937705873978801
26,-48.9898079487428,1.07048143241286
28,-50.0490937370951,1.20197528169993
30,-50.9790969592192,1.33723245726751
32,-51.5928903625787,1.48060902654134
34,-51.7367843151035,1.63551528712372
36,-51.3999365391906,1.80423573986443
38,-50.7194364358053,1.98785414104019
40,-49.8757141643902,2.18629225245186
42,-49.0113638726406,2.39844883805701
44,-48.2176927515417,2.62240831058511
46,-47.5501305661387,2.85568104704421
48,-47.0437923364092,3.09544024294843
50,-46.7229952861713,3.33873000079503
52,-46.6061818966211,3.58263143329206
54,-46.708059663648,3.82438400706961
56,-47.0396391275132,4.06146620608996
58,-47.6056230249452,4.29164275044759
60,-48.397158210808,4.51298604584275
62,-49.3764113332905,4.72387852258776
64,-50.450899209113,4.92300107645119
66,-51.4522849450584,5.10931155284613
68,-52.1767523672582,5.28201634460014
70,-52.5313480128806,5.44053767482264
72,-52.6455336209641,5.58447886789994
74,-52.7840072980593,5.71358971460521
76,-53.2069449203718,5.82773379184105
78,-54.1389031168027,5.92685924350565
80,-55.8036484444604,6.01097406445842
82,-58.3125082166096,6.08012639698298
84,-60.1680041607275,6.13438981609522
86,-57.6354034919028,6.17385311946147
88,-53.651268712029,6.19861381089548
90,-50.428069652674,6.20877431142827
92,-47.970635517743,6.20443995837519
94,-46.0912561461293,6.18571804282776
96,-44.6595104846384,6.15271744996357
98,-43.5948291452119,6.10554885107519
100,-42.8487711734221,6.04432579218478
102,-42.3943399761775,5.96916737366299
104,-42.22057169423,5.88020346684778
106,-42.3306105267072,5.77758352546622
108,-42.7426909108402,5.66148999193512
110,-43.4946848039277,5.53215705497293
112,-44.6548090386872,5.38989508287231
114,-46.3456043529378,5.23512044709944
116,-48.8009147186025,5.06838968650491
118,-52.5048848250279,4.89043607703728
120,-58.0878890552701,4.70220571029149
122,-58.3122060650167,4.50488920666602
124,-52.8034746778833,4.29994428047643
126,-49.1583276588793,4.08910366001345
128,-46.7783939985058,3.87436252572546
130,-45.1675410585105,3.65793990697543
132,-44.0858335473271,3.44220965762805
134,-43.4074008430684,3.2295989779137
136,-43.0620243981339,3.02245608999666
138,-43.0107171879315,2.82289343377701
140,-43.2349875276144,2.63261801136617
142,-43.7325073683909,2.45276518535787
144,-44.5165532471596,2.28375495427185
146,-45.6184437739474,2.12518925841736
148,-47.0926361388278,1.97580467218253
150,-49.0207167814146,1.83348747135668
152,-51.4830666972737,1.69534916961962
154,-54.2913496243661,1.55785242137173
156,-55.8730688501942,1.41697170505338
158,-54.3486421772438,1.2683715596617
160,-51.6980669793515,1.10758733947966
162,-49.3986006539938,0.930198579256856
164,-47.6023135597103,0.731991864618799
166,-46.2176656926438,0.509117477909846
168,-45.1556107252425,0.258251384197632
170,-44.3543255089942,-0.0232188757007906
172,-43.7742810878016,-0.336959172252508
174,-43.3921541869899,-0.683373673687229
176,-43.1967375035392,-1.06117581005912
178,-43.1866424054913,-1.46681694800794
180,-43.3694358732518,-1.89376946981707
