"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
1.45,0.541277493222531,12.7368593175623
1.452,0.55919463938632,12.8449819725434
1.454,0.578038939834499,12.9560401394801
1.456,0.597873951071023,13.0701773244045
1.458,0.618768762523653,13.1875464468238
1.46,0.640798579131838,13.3083106111065
1.462,0.66404537629231,13.4326439533389
1.464,0.688598637550824,13.5607325721682
1.466,0.714556187124743,13.6927755532277
1.468,0.742025131350892,13.8289860979574
1.47,0.771122925535768,13.9695927690284
1.472,0.801978585523224,14.1148408661555
1.474,0.83473406667973,14.2649939478853
1.476,0.869545837050426,14.4203355169885
1.478,0.90658667630512,14.5811708894089
1.48,0.946047737952904,14.7478292693585
1.482,0.988140919385064,14.9206660561336
1.484,1.03310159288824,15.1000654116031
1.486,1.08119176120914,15.2864431211155
1.488,1.13270371399512,15.4802497848319
1.49,1.18796427704232,15.6819743812204
1.492,1.24733976547549,15.892148249669
1.494,1.31124177566712,16.1113495448357
1.496,1.3801339800486,16.340208221403
1.498,1.4545401254679,16.5794116141511
1.5,1.53505348133839,16.8297106844416
1.502,1.62234804100201,17.0919270098113
1.504,1.71719185174571,17.3669605976348
1.506,1.82046294000453,17.6557986054879
1.508,1.93316841400785,17.9595250479818
1.51,2.05646747378042,18.2793315594853
1.512,2.19169924761335,18.6165292597059
1.514,2.34041661759676,18.9725617275891
1.516,2.50442751139643,19.3490190177109
1.518,2.68584554548924,19.7476525359448
1.52,2.88715243611568,20.1703904026285
1.522,3.11127528731574,20.6193526332595
1.524,3.36168277183425,21.0968649995606
1.526,3.64250540690695,21.60546970567
1.528,3.95868667752741,22.1479298822135
1.53,4.31617377858029,22.7272231416028
1.532,4.72215935363524,23.346516700096
1.534,5.18538892158903,24.0091123028282
1.536,5.71655277926906,24.7183425130462
1.538,6.32878598115554,25.4773894642876
1.54,7.03830509129022,26.2889807462975
1.542,7.86521449739476,27.1548913006344
1.544,8.83451505942049,28.0751398298921
1.546,9.97733677736547,29.0467055961465
1.548,11.3323802259378,30.0614961425547
1.55,12.947458502441,31.1031566390086
1.552,14.8808230388425,32.1421213773515
1.554,17.2015226732418,33.1280908620749
1.556,19.9872002684463,33.9789898925064
1.558,23.3162225404552,34.5657800393126
1.56,27.2487229944068,34.6941496790853
1.562,31.7886823103842,34.0888496681692
1.564,36.8198882245842,32.3965816438381
1.566,42.0211650300418,29.2381139546852
1.568,46.8023921419384,24.3452850728119
1.57,50.3538260714377,17.7760364615759
1.572,51.8943955645476,10.0867237311605
1.574,51.0445079385213,2.25796078278284
1.576,48.0429223317404,-4.677691616456
1.578,43.6028418036332,-10.0467342682019
1.58,38.5480818830524,-13.680790917396
1.582,33.5247958515962,-15.784051892878
1.584,28.9125526282477,-16.7158985223111
1.586,24.8705707465007,-16.8350731575007
1.588,21.4210219158998,-16.431581532454
1.59,18.5175766854542,-15.7152300087565
1.592,16.0881258050965,-14.8280531182615
1.594,14.0571599738039,-13.8620332056061
1.596,12.3557091961644,-12.8746865657931
1.598,10.9246867957192,-11.9007281643014
1.6,9.71511902112097,-10.9601608028322
1.602,8.68710396474895,-10.0636632092364
1.604,7.80839512016028,-9.21609950464534
1.606,7.0530055234005,-8.41877546213801
1.608,6.39998252845404,-7.67087689693652
1.61,5.83238985233685,-6.9703803552215
1.612,5.33648580749765,-6.31462526026923
1.614,4.90106997944241,-5.70066948302317
1.616,4.51696776714661,-5.12550661177212
1.618,4.17662490565048,-4.58619509461165
1.62,3.87378852426911,-4.07993143409906
1.622,3.60325581727429,-3.60408809747178
1.624,3.36067539382674,-3.15622942397894
1.626,3.14238966683072,-2.73411406644201
1.628,2.94530926426817,-2.33568944558745
1.63,2.76681249683308,-1.95908171836613
1.632,2.60466450040587,-1.60258348038455
1.634,2.45695188991436,-1.26464059166046
1.636,2.32202969516361,-0.94383897624976
1.638,2.19847806543272,-0.638891897982227
1.64,2.08506677960335,-0.348627990570728
1.642,1.98072602191839,-0.0719801777195608
1.644,1.88452221034063,0.192024470559702
1.646,1.79563791777315,0.444273953865612
1.648,1.71335512344443,0.685579670020342
1.65,1.63704118566743,0.916683914250324
1.652,1.56613704790123,1.13826661487619
1.654,1.50014728513602,1.35095137367763
1.656,1.43863167284541,1.55531087775971
1.658,1.38119802050752,1.75187174634603
1.66,1.3274960593688,1.94111887142941
1.662,1.27721221231039,2.1234993062429
1.664,1.23006510438925,2.29942575046199
1.666,1.18580169742587,2.46927967614521
1.668,1.14419395211198,2.63341413380111
1.67,1.10503593746819,2.79215627370221
1.672,1.06814132083874,2.94580961367689
1.674,1.03334118255776,3.09465608110186
1.676,1.00048210842577,3.23895785367281
1.678,0.969424520564302,3.37895902072832
1.68,0.940041213369565,3.514887084413
1.682,0.912216066394693,3.64695431776076
1.684,0.885842910248724,3.77535899483063
1.686,0.860824525157885,3.90028650630708
1.688,0.837071754816962,4.02191037245844
1.69,0.814502720666527,4.14039316400901
1.692,0.793042123843441,4.25588734030008
1.694,0.772620623839146,4.3685360130746
1.696,0.753174284413315,4.47847364330217
1.698,0.734644078596172,4.58582667765037
1.7,0.716975445707995,4.69071413049386
1.702,0.700117894259436,4.79324811671924
1.704,0.684024645395712,4.89353434002518
1.706,0.668652312234655,4.99167254092162
1.708,0.653960611038107,5.08775690819337
1.71,0.639912100664125,5.18187645720433
1.712,0.626471947186357,5.27411537807258
1.714,0.613607710946597,5.36455335644004
1.716,0.601289153634686,5.45326586928685
1.718,0.589488063276583,5.54032445799728
1.72,0.578178095258995,5.62579698066696
1.722,0.567334627736356,5.70974784544762
