"Theta [deg]","dB(GainTheta) [] - Freq='1.603GHz' Phi='90deg'","dB(GainPhi) [] - Freq='1.603GHz' Phi='90deg'"
-180,-28.1580924001066,-6.95072895989557
-178,-27.3616948446539,-7.50697618213406
-176,-26.6795316543042,-8.11343972772112
-174,-26.119399928169,-8.77902963690289
-172,-25.6826757226384,-9.51282570770602
-170,-25.3683019271918,-10.3237897499796
-168,-25.1747726944067,-11.2202346988535
-166,-25.1011113881833,-12.2088015299716
-164,-25.1473707107706,-13.2924911243444
-162,-25.3149272195092,-14.4669863108855
-160,-25.606711061823,-15.7141955781042
-158,-26.0274423969143,-16.9923417038904
-156,-26.5838976838232,-18.2251566329273
-154,-27.285163387408,-19.3019371023977
-152,-28.1426837393848,-20.1095615911516
-150,-29.1695018421874,-20.5969527696872
-148,-30.3769578324495,-20.8158679178199
-146,-31.7639878907263,-20.8871598212087
-144,-33.2865161493924,-20.9312945987729
-142,-34.7839963957998,-21.022473255465
-140,-35.8783368725987,-21.1686512588032
-138,-36.087037603725,-21.2935603330348
-136,-35.3456409899576,-21.2218230444026
-134,-34.0967565688789,-20.7256217949757
-132,-32.7604052809942,-19.6845050957732
-130,-31.5314772113852,-18.2036535897056
-128,-30.4681247950417,-16.5101567187501
-126,-29.5757413906728,-14.793008230092
-124,-28.8441824227941,-13.1567968400717
-122,-28.2611341795639,-11.6454528370719
-120,-27.8163906436109,-10.2712426283661
-118,-27.502986420163,-9.03231767504222
-116,-27.3173548014202,-7.92135843333542
-114,-27.2592978427846,-6.92946840362286
-112,-27.3320751847702,-6.04782234002994
-110,-27.5427712948024,-5.26830409227632
-108,-27.9030941742935,-4.58370505449447
-106,-28.4308455967851,-3.98774094803301
-104,-29.1525158690965,-3.47500165434727
-102,-30.1079259943292,-3.0408840056354
-100,-31.3589275026621,-2.68152813180994
-98,-33.0068873049822,-2.39376481277036
-96,-35.2309268294969,-2.17507553371652
-94,-38.3758755572867,-2.02356458540078
-92,-43.0424944661751,-1.93794174637552
-90,-46.7160946333371,-1.91751397999375
-88,-41.9469013737711,-1.96218478911226
-86,-37.5632318480429,-2.07246022750212
-84,-34.5865935913232,-2.24946099648614
-82,-32.4491943799639,-2.49494051545503
-80,-30.8489572721396,-2.81130928543745
-78,-29.6258756613951,-3.20166613893133
-76,-28.6865478173459,-3.66983681707361
-74,-27.9712422440034,-4.22041917797154
-72,-27.4384483515858,-4.85883106125869
-70,-27.0569596099146,-5.59134899058815
-68,-26.8015370559169,-6.42510832444865
-66,-26.6504825045364,-7.36799700206194
-64,-26.5843838131796,-8.42829135417818
-62,-26.5856940132145,-9.61370101860283
-60,-26.6389569724787,-10.929102492079
-58,-26.7315037777495,-12.3714565447784
-56,-26.854381612523,-13.9190678806966
-54,-27.0032121274605,-15.5113311377397
-52,-27.1786833962226,-17.0203261852348
-50,-27.3864928581043,-18.2428619092681
-48,-27.6367352736073,-18.9808378299436
-46,-27.9428669688053,-19.1990892301343
-44,-28.3203770750416,-19.0605619900807
-42,-28.7851047139591,-18.7822849022887
-40,-29.3507148011571,-18.5171039185028
-38,-30.0240661417756,-18.338718368498
-36,-30.7958838775507,-18.2656122218705
-34,-31.6226579214149,-18.2800859551065
-32,-32.3981248757038,-18.3359453776388
-30,-32.9335536931597,-18.3612899046621
-28,-33.0118048391719,-18.2669600651105
-26,-32.5459888548584,-17.9703989813037
-24,-31.6670590547566,-17.4303755386824
-22,-30.6025808131851,-16.6666161914895
-20,-29.5320175658048,-15.7447485851955
-18,-28.5535568242071,-14.7421030764833
-16,-27.7092502002348,-13.722384755578
-14,-27.0119236744291,-12.727927806705
-12,-26.4611016582055,-11.782546559194
-10,-26.050801109425,-10.8972113055701
-8,-25.7729869566629,-10.0749610144455
-6,-25.6189219106028,-9.31428642614051
-4,-25.5795007278581,-8.61123704379254
-2,-25.6450624891127,-7.96066988660992
0,-25.8048966766052,-7.35696957154637
2,-26.0465476290155,-6.7944540363597
4,-26.3550103273206,-6.2675942112633
6,-26.7119793539837,-5.77112180770284
8,-27.0954548095154,-5.30006846813793
10,-27.4801798363739,-4.84976354019218
12,-27.8394422211381,-4.41581070126517
14,-28.1484709223407,-3.99406135205349
16,-28.3888420050154,-3.58060200326553
18,-28.5523123907711,-3.17177137290462
20,-28.6422264188446,-2.76421878363027
22,-28.6717036558953,-2.35500773654919
24,-28.6595385220686,-1.94175753576528
26,-28.6256971585162,-1.52280346000998
28,-28.5879257279818,-1.09734563868975
30,-28.5599773904765,-0.665552456767505
32,-28.5511965338184,-0.228588787185728
34,-28.5669472436691,0.211447455136902
36,-28.6094583343226,0.651678567910657
38,-28.6788342690949,1.0886704326281
40,-28.7741151778517,1.51869442488772
42,-28.8943257503577,1.93799305816123
44,-29.0394487648632,2.34301929459609
46,-29.211231093089,2.73062905829717
48,-29.4137180691767,3.09821724308137
50,-29.6534427868744,3.44379660479061
52,-29.939269045095,3.76602505204982
