"Phi [deg]","dB(GainTheta) [] - Freq='1.603GHz' Theta='90deg'","dB(GainPhi) [] - Freq='1.603GHz' Theta='90deg'"
-180,-45.8050358836234,-1.68607532272338
-178,-43.8510314390988,-2.10437361067363
-176,-42.3168008961731,-2.52495560001365
-174,-41.1264241231693,-2.93105318549169
-172,-40.2250835574917,-3.3021322164733
-170,-39.5737237932939,-3.61553737684618
-168,-39.1433506674018,-3.8497348445262
-166,-38.9106091659974,-3.98874582978024
-164,-38.8542714297052,-4.02633642828246
-162,-38.9521918397016,-3.96805174785401
-160,-39.1785658484445,-3.83002234615305
-158,-39.5017962485921,-3.63519409193924
-156,-39.8839238193355,-3.40881329801994
-154,-40.2831209683858,-3.17483208517891
-152,-40.6602674226119,-2.9539169163612
-150,-40.9881518533508,-2.76288041677376
-148,-41.2584143862654,-2.6150098885482
-146,-41.4808760778053,-2.52080536067779
-144,-41.6745012688786,-2.48881451048604
-142,-41.8546818805891,-2.52641083569946
-140,-42.0227280379311,-2.64046146632347
-138,-42.1614360226841,-2.83787846805357
-136,-42.2390065254432,-3.12605813916801
-134,-42.2220769394935,-3.51319393605124
-132,-42.0938931851677,-4.00839069257059
-130,-41.8672631484118,-4.62137119797888
-128,-41.583176701384,-5.36124913175928
-126,-41.2973438199959,-6.23311068449796
-124,-41.0653719089294,-7.22954769388491
-122,-40.9342904307137,-8.31145073111252
-120,-40.9409078681133,-9.37117388759921
-118,-41.1140439385316,-10.1903074136231
-116,-41.4780276700712,-10.4775245024514
-114,-42.0561963987189,-10.0829138332055
-112,-42.8740154657859,-9.16090301633503
-110,-43.961549332714,-8.00452032873097
-108,-45.3538426011166,-6.83259573247169
-106,-47.0825746941674,-5.75356870131801
-104,-49.1321112649362,-4.80797282182133
-102,-51.2711977603174,-4.00511697017552
-100,-52.6969395586548,-3.34219188781155
-98,-52.4482115094451,-2.81273435579636
-96,-50.991592573807,-2.41011565459632
-94,-49.3391185853896,-2.12889990474527
-92,-47.8959163737627,-1.96533449565048
-90,-46.7160946333371,-1.91751397999375
