"Theta [deg]","dB(GainTheta) [] - Freq='1.608GHz' Phi='90.0000000000002deg'","dB(GainPhi) [] - Freq='1.608GHz' Phi='90.0000000000002deg'"
-180,-1.41604857957956,-51.3291312677238
-178,-1.80941055670403,-50.0238585877066
-176,-2.21020077053923,-49.2757321231212
-174,-2.6044910616891,-48.9790327247326
-172,-2.97449040078593,-49.0758015066285
-170,-3.29956749207065,-49.5129273037238
-168,-3.558695935522,-50.180791670505
-166,-3.73426263996599,-50.8003348511236
-164,-3.81629079548553,-50.8516774259011
-162,-3.80538403716031,-49.9375051215617
-160,-3.71293532343372,-48.3054492691119
-158,-3.55849706617625,-46.4836762364134
-156,-3.3656497506443,-44.7883604206149
-154,-3.15810675865987,-43.3275486029911
-152,-2.95713172100482,-42.1179385362184
-150,-2.78042951822991,-41.1465384039039
-148,-2.6421263873182,-40.3932143767965
-146,-2.55334623251366,-39.8376200229288
-144,-2.52300975884719,-39.4607531208487
-142,-2.55864313165093,-39.244893198184
-140,-2.66710159965441,-39.1733363445953
-138,-2.85517885231738,-39.2305781190528
-136,-3.13009621472171,-39.4033290690132
-134,-3.4998562446266,-39.6825555966778
-132,-3.97339769119608,-40.066467797198
-130,-4.56037129770553,-40.5640909430191
-128,-5.27008314772136,-41.1990444444811
-126,-6.10852656267495,-42.0137845823866
-124,-7.07105584567808,-43.0761558873109
-122,-8.12575720230129,-44.4933069017272
-120,-9.1808507052094,-46.4460246632397
-118,-10.0427108494289,-49.283264975513
-116,-10.4318554740767,-53.8149150001012
-114,-10.1628236570436,-60.8439279858357
-112,-9.33611362066237,-56.1053734341513
-110,-8.23007125068311,-50.4344001396432
-108,-7.07855649573414,-47.0172205761612
-106,-6.00640601044299,-44.7523074554456
-104,-5.06389647320122,-43.1977293006442
-102,-4.26505514099964,-42.1537830391545
-100,-3.60910294578305,-41.5211225450211
-98,-3.09030254211166,-41.2514917803192
-96,-2.70213251500877,-41.3292721481829
-94,-2.43897182122485,-41.76653606169
-92,-2.29674715486857,-42.6077775003308
-90,-2.27317532318703,-43.9483880071376
-88,-2.36787311384833,-45.986002871917
-86,-2.582451204624,-49.184263982573
-84,-2.92063615765858,-55.0464592552606
-82,-3.38841662267079,-71.1135086675583
-80,-3.99414325110436,-54.1758826672274
-78,-4.74835999627051,-48.4171866322853
-76,-5.66275080213788,-45.0880710895146
-74,-6.74654418222304,-42.8324533846274
-72,-7.99603692935031,-41.206937029563
-70,-9.36690603262222,-40.010206917594
-68,-10.7126061481279,-39.1337206391616
-66,-11.7059678221097,-38.5125981275429
-64,-11.9287419671927,-38.1056037693701
-62,-11.2847919110727,-37.885803511561
-60,-10.1260015433439,-37.8358027717804
-58,-8.84082985122292,-37.945194872903
-56,-7.63369698062593,-38.2091934645769
-54,-6.57527787631968,-38.6279833309054
-52,-5.67756077621918,-39.2065983491118
-50,-4.93207638145344,-39.9553043453206
-48,-4.32500753459092,-40.8906091201806
-46,-3.84250988137146,-42.0371913740465
-44,-3.47231496994269,-43.4312671616736
-42,-3.20397801419356,-45.1261321229633
-40,-3.02864501886814,-47.2000551196434
-38,-2.93864782845041,-49.7596560900511
-36,-2.9270195434288,-52.8776779018791
-34,-2.9869381303595,-56.072167047998
-32,-3.11107291106423,-56.990280564196
-30,-3.29080124405694,-55.059704994104
-28,-3.51528074829434,-52.8723719983327
-26,-3.77042235457834,-51.2615388712209
-24,-4.03793911543539,-50.2183437165701
-22,-4.29486346716118,-49.6486688007171
-20,-4.5141811533149,-49.4763286681041
-18,-4.66730958652057,-49.6306322513742
-16,-4.72866920016113,-50.0066586556374
-14,-4.68135603828687,-50.4060426748361
-12,-4.52156483068051,-50.5098840565811
-10,-4.25937683473913,-50.0346115484315
-8,-3.91543294956147,-49.0134974117793
-6,-3.51535076808928,-47.7527339752645
-4,-3.08447521902819,-46.5411440077196
-2,-2.64451669282901,-45.537879198209
0,-2.21221053746129,-44.8113604779814
2,-1.79936035790522,-44.3899688500604
4,-1.41354606611438,-44.2910224055994
6,-1.05900379189143,-44.5356151679622
8,-0.737429359808803,-45.1583558857762
10,-0.448619615362295,-46.2179150526674
12,-0.190949182744501,-47.8132105464515
14,0.0382862222251918,-50.1072980142466
16,0.242620146600998,-53.3093580956353
18,0.426221335942788,-56.9594906835754
20,0.593722485748958,-57.0834102575912
22,0.750045813335776,-53.910269722486
24,0.900207670101595,-51.2885608403813
26,1.04909468176634,-49.6124744962782
28,1.20121628638667,-48.6952327993259
30,1.36045172011954,-48.4092493021982
32,1.52982053702361,-48.7016819898452
34,1.71131079550946,-49.5744777052833
36,1.90579505563365,-51.0612906890132
38,2.11305101954653,-53.1347282480642
40,2.33188439389662,-55.2552788873729
42,2.56033236188801,-55.6503328800439
44,2.7959129104642,-53.8675303298633
46,3.03588148634093,-51.7679590529821
48,3.27746164412534,-50.1942135444773
50,3.51802725933144,-49.2370371465792
52,3.75522638556684,-48.8574659980828
54,3.98704765179737,-49.0300707178813
56,4.21183753476717,-49.7675516784221
58,4.42828067458456,-51.1277261879017
60,4.6353562797234,-53.2052833545669
62,4.83228254455889,-55.9739993870918
64,5.01845876582333,-58.2522016261704
66,5.19341217015496,-57.2978433718436
68,5.35675381099469,-54.6587911803202
70,5.50814554566935,-52.4727315297303
72,5.64727822509965,-51.0140550673953
74,5.77385988941606,-50.1969130551063
76,5.88761195904306,-49.9560538497396
78,5.98827107940556,-50.2934636912905
80,6.07559431387563,-51.3032538757393
82,6.14936566026126,-53.2506734266383
84,6.2094022710033,-56.8713050432236
86,6.25555918866847,-64.892138686229
88,6.28773180248553,-62.6913459557451
90,6.30585556153064,-54.4915822511734
92,6.30990275106876,-50.0593256781891
94,6.29987637856744,-47.124825316901
96,6.27580146323164,-45.0349451014548
98,6.23771431251193,-43.5242309854497
100,6.18565072025779,-42.4625684214499
102,6.1196344283754,-41.7799081232742
104,6.03966762182417,-41.4377204634172
106,5.94572561269455,-41.4164843516249
108,5.83775813116254,-41.7096746063188
110,5.71569969274105,-42.3204773321088
112,5.57949127696428,-43.258880296949
114,5.4291149803419,-44.535718501355
116,5.26464237113655,-46.1450732639584
118,5.08629597084802,-48.0124445926147
120,4.89452162031413,-49.8725830228677
122,4.69006745858931,-51.1655331259188
124,4.47406286106827,-51.436692824866
126,4.24808801744158,-50.973864720447
128,4.01422209881522,-50.3608385620623
130,3.77505566662101,-49.897274281358
132,3.53365201148005,-49.615899240977
134,3.29344377223171,-49.4083968738732
136,3.05805689547827,-49.1070698167785
138,2.83106464418541,-48.5774264768997
140,2.61568933079766,-47.8070576632926
142,2.41448575653523,-46.9020927863672
144,2.22905271983139,-46.0018544899722
146,2.05982154071059,-45.2132938543383
148,1.9059598545831,-44.5989961595443
150,1.76540655456166,-44.1903208566047
152,1.63502660660782,-44.0023156095336
154,1.51085174877384,-44.0441412838371
156,1.38836185613149,-44.3258401849485
158,1.26276380614173,-44.8635208570295
160,1.12923671166992,-45.6849889198157
162,0.983128643130154,-46.8383374146119
164,0.820105257452122,-48.4083334943195
166,0.636262216478063,-50.5533953354553
168,0.428220446545387,-53.6064361889066
170,0.193227228581671,-58.4360531964808
172,-0.0707116791189062,-67.8712428712558
174,-0.364642139252207,-63.2754528437806
176,-0.68838646053823,-56.8199596394708
178,-1.04015766697176,-53.4141433465357
180,-1.41604857957956,-51.3291312677238
