"Phi [deg]","dB(GainTheta) [] - Freq='1.608GHz' Theta='90.0000000000002deg'","dB(GainPhi) [] - Freq='1.608GHz' Theta='90.0000000000002deg'"
-180,-7.47478731420404,-26.2531785491625
-178,-8.09804224417038,-26.1629859541739
-176,-8.77589522293237,-26.1357511603609
-174,-9.51682361200195,-26.1705737331897
-172,-10.329202052154,-26.2626115958264
-170,-11.220686193905,-26.4033502678439
-168,-12.1971250384687,-26.5809860121378
-166,-13.2605971075404,-26.7811737168413
-164,-14.4059034098819,-26.9883611932146
-162,-15.6146321345885,-27.1877459792924
-160,-16.8463517773836,-27.3675345206763
-158,-18.0293609786683,-27.5208005854837
-156,-19.0610380842684,-27.6461238238659
-154,-19.8352398727183,-27.7465505090659
-152,-20.2978079670477,-27.8271104498082
-150,-20.4852258576051,-27.8917197415852
-148,-20.5009530426124,-27.9404995372044
-146,-20.456231351499,-27.9684041719325
-144,-20.4285464681363,-27.9657737289803
-142,-20.4475304122956,-27.9210149814888
-140,-20.4904571282693,-27.8249047940285
-138,-20.4767588344457,-27.6750767191076
-136,-20.2726511790219,-27.4787462663368
-134,-19.7364038365865,-27.2523991476577
-132,-18.8063555610419,-27.0187809998749
-130,-17.5495225837304,-26.8028193057363
-128,-16.1082016013513,-26.6281615430932
-126,-14.615916004323,-26.5151596646496
-124,-13.1605258615833,-26.4802584705268
-122,-11.7883848821796,-26.5363330239598
-120,-10.5194337824877,-26.6935105247446
-118,-9.35932575545393,-26.9601720367621
-116,-8.3067183749842,-27.3439996799415
-114,-7.35717735996391,-27.8530636589208
-112,-6.50515073994069,-28.4970403786179
-110,-5.7449303566336,-29.288752011787
-108,-5.07110190704379,-30.2463711515026
-106,-4.47874302606456,-31.3969361002402
-104,-3.96350064331464,-32.7824912147565
-102,-3.52161302492996,-34.4717916093384
-100,-3.14990850132339,-36.5848734288498
-98,-2.84579599132049,-39.3506891615145
-96,-2.60725395495145,-43.2532198443487
-94,-2.43282024712636,-49.0680079848015
-92,-2.32158342585463,-49.8249336506417
-90,-2.27317532318703,-43.9483880071376
-88,-2.28776455051103,-39.944444707396
-86,-2.3660507713638,-37.1419386928225
-84,-2.50925985096029,-35.0059453316653
-82,-2.71914025952863,-33.2841589150652
-80,-2.99796126331923,-31.8456188629783
-78,-3.34851336195586,-30.6165622241666
-76,-3.77411093340379,-29.5532618944428
-74,-4.27859577996895,-28.6291045543226
-72,-4.86633755742009,-27.8278069771246
-70,-5.54222159208098,-27.1395711179322
-68,-6.31160373198438,-26.5587747214157
-66,-7.18019045014204,-26.0825224658419
-64,-8.15376016352504,-25.7097059431596
-62,-9.23755873206764,-25.4403755388467
-60,-10.4350417180372,-25.2753050900565
-58,-11.7453405237872,-25.2156688554928
